ten_san_pham,thuong_hieu,danh_muc,gia_goc,gia_ban,phan_tram_giam_gia,so_luong_da_ban,so_luong_ton,rating,so_luot_danh_gia,ten_shop,shop_mall,dia_diem_shop,danh_gia_shop,tham_gia_tu
iPhone 15,Apple,Điện thoại,31669833,19001899,40,3006,184,4.7,62,Digital Apple 69,Có,Cần Thơ,4.4,2020
XPS 13,Dell,Laptop,54852315,39493666,28,897,1382,3.9,30,Center Dell 72,Không,Hải Phòng,4.2,2017
PlayStation 5,Sony,Gaming,25279639,17442950,31,965,286,3.6,43,Digital Sony 64,Có,TP.HCM,4.2,2024
MacBook Air M2,Apple,Laptop,42443517,30559332,28,4435,858,4.4,1270,Store Apple 84,Có,Cần Thơ,4.6,2020
Galaxy Z Fold5,Samsung,Điện thoại,29865844,24489992,18,3642,910,4.9,3508,Digital Samsung 13,Không,Hải Phòng,4.9,2021
Galaxy A55,Samsung,Điện thoại,23514090,19516694,17,1010,931,3.6,222,Smart Samsung 82,Có,TP.HCM,4.8,2019
AirPods Pro 2,Apple,Tai nghe,3742778,3405927,9,4550,424,4.4,1913,Digital Apple 19,Có,Đà Nẵng,4.9,2018
AirPods Pro 2,Apple,Tai nghe,4505279,3784434,16,910,1353,4.8,139,Tech Apple 46,Có,Hải Phòng,4.3,2018
Redmi Note 13,Xiaomi,Điện thoại,13506621,9319568,31,4319,232,4.6,3906,Store Xiaomi 47,Có,Cần Thơ,4.5,2025
Galaxy Z Fold5,Samsung,Điện thoại,39993998,30395438,24,3762,1317,4.9,254,Store Samsung 52,Không,TP.HCM,4.5,2023
Galaxy S24,Samsung,Điện thoại,26616558,22890239,14,548,258,3.9,337,Store Samsung 77,Không,Cần Thơ,4.5,2022
Galaxy Z Fold5,Samsung,Điện thoại,12678198,7606918,40,1771,880,4.2,472,Store Samsung 44,Không,Cần Thơ,4.4,2017
Xiaomi 14,Xiaomi,Điện thoại,25973101,20518749,21,3076,312,4.5,1947,Tech Xiaomi 12,Có,TP.HCM,4.4,2021
Pavilion 14,HP,Laptop,49337408,45390415,8,4814,1150,4.3,1006,Store HP 46,Không,TP.HCM,5.0,2025
Xiaomi 14,Xiaomi,Điện thoại,11952516,7530085,37,1752,316,4.5,464,Mega Xiaomi 14,Không,Hải Phòng,4.4,2020
Inspiron 15,Dell,Laptop,40797246,24478347,40,4570,53,4.4,2195,Tech Dell 24,Không,Đà Nẵng,4.9,2021
Galaxy S24,Samsung,Điện thoại,14613444,10229410,30,580,290,4.6,36,Tech Samsung 96,Có,Cần Thơ,4.4,2021
MacBook Air M2,Apple,Laptop,32913629,24685221,25,4659,1221,3.6,435,Mobile Apple 21,Có,TP.HCM,4.3,2022
Zenbook OLED,Asus,Laptop,41665083,28748907,31,2247,441,4.6,471,Digital Asus 56,Có,Đà Nẵng,4.7,2025
Zenbook OLED,Asus,Laptop,56770508,43145586,24,382,451,4.1,311,Tech Asus 1,Có,Đà Nẵng,4.9,2018
Victus 16,HP,Laptop,31424468,23568351,25,992,15,4.2,445,Mobile HP 17,Không,Hải Phòng,4.7,2024
Alienware M16,Dell,Gaming,28767756,26178657,9,3262,86,4.2,1888,Tech Dell 41,Không,Hải Phòng,4.4,2022
Redmi Note 13,Xiaomi,Điện thoại,32181258,30250382,6,2670,351,4.7,2536,Store Xiaomi 89,Không,TP.HCM,4.4,2017
MacBook Air M2,Apple,Laptop,51518483,36062938,30,4302,161,4.1,2546,Smart Apple 44,Có,Đà Nẵng,4.8,2017
Alienware M16,Dell,Gaming,12652198,7844362,38,4187,397,4.9,2867,Digital Dell 94,Có,Hà Nội,4.1,2020
iPhone 15,Apple,Điện thoại,15258917,13885614,9,1461,1286,4.2,1159,Mega Apple 75,Không,Hải Phòng,4.6,2025
Redmi Buds 5,Xiaomi,Tai nghe,5603930,4819379,14,3612,139,4.2,2591,Digital Xiaomi 36,Có,Đà Nẵng,4.5,2020
Vivobook 15,Asus,Laptop,14523779,13361876,8,3030,587,3.6,374,Center Asus 77,Không,Cần Thơ,4.6,2016
Zenbook OLED,Asus,Laptop,55744071,46267578,17,2643,1239,4.2,622,Tech Asus 58,Có,Đà Nẵng,5.0,2017
Alienware M16,Dell,Gaming,16580232,15419615,7,2039,1449,4.2,904,Center Dell 67,Có,Đà Nẵng,4.4,2020
Vivobook 15,Asus,Laptop,34707434,31930839,8,2751,134,4.0,2290,Smart Asus 50,Không,Đà Nẵng,4.7,2025
Pavilion 14,HP,Laptop,34371547,30934392,10,4783,1359,3.7,2870,Digital HP 84,Không,Hà Nội,4.6,2017
Redmi Buds 5,Xiaomi,Tai nghe,6619630,4898526,26,1056,1372,4.6,196,Smart Xiaomi 86,Không,Hải Phòng,4.4,2021
Redmi Note 13,Xiaomi,Điện thoại,19374226,14336927,26,3993,393,3.8,568,Mobile Xiaomi 10,Không,TP.HCM,4.5,2024
EliteBook 840,HP,Laptop,47334939,44021493,7,2768,1265,3.7,1548,Mobile HP 21,Có,Hải Phòng,4.8,2018
PlayStation 5,Sony,Gaming,7932149,5473182,31,2994,1385,4.6,1824,Center Sony 37,Không,Hà Nội,4.5,2020
Victus 16,HP,Laptop,25020205,18014547,28,4682,902,4.2,2313,Mega HP 49,Không,Hà Nội,4.8,2025
MacBook Air M2,Apple,Laptop,15501727,10076122,35,3050,1135,4.9,2918,Mega Apple 67,Có,Đà Nẵng,4.1,2018
Xiaomi 14,Xiaomi,Điện thoại,39450519,33927446,14,3593,187,4.9,914,Mega Xiaomi 58,Không,TP.HCM,4.4,2022
XPS 13,Dell,Laptop,27822798,19754186,29,678,767,3.8,331,Tech Dell 92,Không,Hà Nội,4.1,2020
Victus 16,HP,Laptop,58712600,51079962,13,3852,918,4.4,3715,Tech HP 3,Không,Hà Nội,4.8,2024
Xperia 1 V,Sony,Điện thoại,33404146,29395648,12,2370,486,4.0,200,Mobile Sony 54,Không,TP.HCM,4.1,2023
Alienware M16,Dell,Gaming,6102957,3844862,37,4720,495,4.6,2391,Store Dell 1,Không,Hà Nội,4.6,2018
Xperia 1 V,Sony,Điện thoại,10745455,6662182,38,2964,138,4.9,2233,Center Sony 65,Có,Cần Thơ,4.9,2016
PlayStation 5,Sony,Gaming,30051899,23741000,21,143,731,4.7,93,Mobile Sony 94,Có,Hải Phòng,4.7,2021
iPhone 15,Apple,Điện thoại,28642388,17471856,39,2783,1316,3.8,1908,Smart Apple 62,Có,Hà Nội,4.1,2023
Galaxy A55,Samsung,Điện thoại,18528542,17231544,7,1644,85,4.0,640,Center Samsung 51,Không,Đà Nẵng,4.0,2019
Xiaomi 14,Xiaomi,Điện thoại,8208074,6073974,26,2248,254,4.7,1794,Store Xiaomi 96,Không,Cần Thơ,4.3,2018
Zenbook OLED,Asus,Laptop,45388229,32679524,28,4263,546,4.7,3482,Tech Asus 56,Có,Hải Phòng,4.3,2017
Galaxy A55,Samsung,Điện thoại,24840061,18878446,24,3662,1234,4.6,687,Smart Samsung 57,Không,Cần Thơ,4.0,2021
XPS 13,Dell,Laptop,30425098,27991090,8,624,1374,4.5,377,Center Dell 96,Có,TP.HCM,4.1,2025
PlayStation 5,Sony,Gaming,7335319,6381727,13,560,483,4.7,380,Digital Sony 50,Có,Hải Phòng,4.2,2023
Xiaomi 14,Xiaomi,Điện thoại,34792261,31660957,9,4711,281,4.3,3265,Digital Xiaomi 84,Không,Hà Nội,5.0,2016
WH-1000XM5,Sony,Tai nghe,8672568,5376992,38,3180,1150,3.7,3179,Digital Sony 91,Không,Hà Nội,5.0,2020
PlayStation 5,Sony,Gaming,18433741,16221692,12,1121,151,4.2,916,Tech Sony 88,Không,Đà Nẵng,4.7,2024
XPS 13,Dell,Laptop,32129751,27310288,15,1436,740,4.3,253,Mobile Dell 18,Có,Cần Thơ,4.0,2024
XPS 13,Dell,Laptop,43367074,26020244,40,1073,1253,4.8,139,Digital Dell 51,Không,Hải Phòng,4.4,2022
EliteBook 840,HP,Laptop,16949326,14745913,13,2607,1315,3.6,1913,Smart HP 67,Không,Hà Nội,4.9,2024
Xperia 1 V,Sony,Điện thoại,17211339,14973864,13,3554,1029,4.9,231,Mega Sony 16,Có,Đà Nẵng,4.2,2021
WH-1000XM5,Sony,Tai nghe,6105303,3785287,38,2336,161,3.9,2261,Digital Sony 17,Không,Hải Phòng,4.5,2024
WH-1000XM5,Sony,Tai nghe,10228898,8796852,14,1412,1349,4.4,1244,Digital Sony 73,Có,TP.HCM,4.1,2025
Redmi Buds 5,Xiaomi,Tai nghe,3836777,2647376,31,258,1019,4.8,144,Digital Xiaomi 83,Không,Cần Thơ,4.2,2022
Xiaomi 14,Xiaomi,Điện thoại,9897136,9105365,8,1304,900,4.1,956,Mobile Xiaomi 44,Có,Đà Nẵng,4.9,2021
PlayStation 5,Sony,Gaming,31757418,27628953,13,3045,1054,4.3,1312,Mobile Sony 60,Có,Đà Nẵng,4.4,2018
Galaxy S24,Samsung,Điện thoại,24475797,17377815,29,3435,508,4.9,659,Mega Samsung 42,Không,Hà Nội,4.8,2023
XPS 13,Dell,Laptop,45471197,34558109,24,4084,47,3.6,1615,Center Dell 59,Có,Hà Nội,4.6,2016
Galaxy A55,Samsung,Điện thoại,38211787,24837661,35,2350,1099,3.5,445,Store Samsung 18,Không,Đà Nẵng,4.8,2021
Galaxy A55,Samsung,Điện thoại,8433134,5059880,40,1604,742,4.3,155,Store Samsung 65,Không,Hải Phòng,4.3,2025
Xperia 1 V,Sony,Điện thoại,12973272,11286746,13,802,806,4.1,352,Center Sony 47,Có,Hà Nội,4.6,2022
Inspiron 15,Dell,Laptop,15040256,13987438,7,1132,1461,4.0,975,Center Dell 59,Có,Hải Phòng,4.9,2018
Redmi Buds 5,Xiaomi,Tai nghe,5644047,4797439,15,3229,1262,4.6,1230,Center Xiaomi 44,Không,Hải Phòng,4.3,2016
Xiaomi 14,Xiaomi,Điện thoại,12355439,8525252,31,4791,630,4.7,223,Center Xiaomi 61,Không,Hải Phòng,4.6,2016
XPS 13,Dell,Laptop,23442870,14534579,38,3124,302,4.7,997,Tech Dell 74,Có,Hà Nội,4.0,2021
ROG Strix G16,Asus,Laptop,39713283,32564892,18,3371,1027,4.7,1936,Mega Asus 95,Có,Hà Nội,4.5,2024
Redmi Buds 5,Xiaomi,Tai nghe,8325733,5161954,38,3096,642,4.9,1887,Center Xiaomi 44,Không,Đà Nẵng,4.6,2019
MacBook Air M2,Apple,Laptop,49452561,37583946,24,1852,609,4.7,1448,Mobile Apple 89,Không,Đà Nẵng,4.5,2024
EliteBook 840,HP,Laptop,30351424,23370596,23,1008,1174,4.5,393,Store HP 45,Có,Đà Nẵng,4.0,2017
Xiaomi 14,Xiaomi,Điện thoại,22209663,14436280,35,1762,413,4.7,560,Center Xiaomi 90,Không,Hà Nội,4.1,2025
iPhone 15,Apple,Điện thoại,8406810,5212222,38,1858,1306,3.8,210,Store Apple 43,Không,TP.HCM,4.7,2018
Galaxy Z Fold5,Samsung,Điện thoại,15599246,10763479,31,3906,977,4.5,3101,Digital Samsung 42,Không,TP.HCM,4.9,2017
Xperia 1 V,Sony,Điện thoại,20584033,12556260,39,315,358,4.1,95,Tech Sony 51,Không,Hà Nội,4.9,2020
Galaxy S24,Samsung,Điện thoại,25024762,22272038,11,2754,582,4.2,2631,Center Samsung 68,Không,Hà Nội,4.9,2023
Redmi Note 13,Xiaomi,Điện thoại,12559596,9294101,26,1341,1497,4.2,531,Smart Xiaomi 24,Có,Đà Nẵng,4.8,2025
WH-1000XM5,Sony,Tai nghe,3244316,2271021,30,3513,1055,4.0,1646,Smart Sony 13,Có,Hà Nội,4.5,2019
Galaxy A55,Samsung,Điện thoại,30741241,24592992,20,3669,546,4.9,1241,Center Samsung 93,Có,Đà Nẵng,4.7,2019
Galaxy Z Fold5,Samsung,Điện thoại,12933935,8536397,34,2523,327,4.1,2063,Smart Samsung 99,Không,TP.HCM,4.6,2020
Redmi Buds 5,Xiaomi,Tai nghe,4005235,3244240,19,1104,979,3.7,770,Store Xiaomi 90,Không,Hải Phòng,4.8,2019
Pavilion 14,HP,Laptop,57656973,51891275,10,4314,914,4.3,2968,Tech HP 73,Có,TP.HCM,4.8,2024
AirPods Pro 2,Apple,Tai nghe,9303663,8001150,14,1357,671,4.8,909,Tech Apple 88,Có,Hải Phòng,4.5,2024
ROG Strix G16,Asus,Laptop,42429326,36913513,13,4214,850,4.2,477,Center Asus 60,Không,TP.HCM,4.4,2016
WH-1000XM5,Sony,Tai nghe,10002453,9102232,9,381,867,4.0,37,Center Sony 8,Có,Cần Thơ,4.0,2022
iPhone 15,Apple,Điện thoại,33210012,23911208,28,3143,918,4.8,1551,Store Apple 11,Có,Đà Nẵng,4.1,2024
Zenbook OLED,Asus,Laptop,20546118,16642355,19,38,46,5.0,34,Smart Asus 93,Không,Hải Phòng,4.4,2019
MacBook Air M2,Apple,Laptop,35230386,30298131,14,2268,386,4.9,467,Tech Apple 85,Không,Hải Phòng,4.8,2016
iPhone 15,Apple,Điện thoại,9515816,8469076,11,4875,68,4.2,403,Mobile Apple 95,Có,Cần Thơ,4.4,2024
iPhone 15,Apple,Điện thoại,14404339,9074733,37,2379,479,4.7,2364,Digital Apple 74,Không,Hà Nội,4.3,2018
Xperia 1 V,Sony,Điện thoại,19833927,13685409,31,2471,563,3.6,2428,Smart Sony 23,Không,Hải Phòng,4.5,2021
Xperia 1 V,Sony,Điện thoại,30578854,18958889,38,2621,1426,4.1,616,Digital Sony 49,Có,Hải Phòng,4.5,2019
Redmi Buds 5,Xiaomi,Tai nghe,2721820,1796401,34,482,1151,4.1,218,Center Xiaomi 68,Có,Cần Thơ,4.2,2019
Redmi Buds 5,Xiaomi,Tai nghe,1626581,1089809,33,3049,189,4.3,785,Tech Xiaomi 35,Không,Hải Phòng,4.6,2017
AirPods Pro 2,Apple,Tai nghe,11565070,6939042,40,1787,981,3.8,686,Digital Apple 2,Có,Hà Nội,5.0,2017
PlayStation 5,Sony,Gaming,21280152,17449724,18,3259,490,4.3,3181,Digital Sony 49,Không,Hải Phòng,4.6,2020
Xiaomi 14,Xiaomi,Điện thoại,39414535,25225302,36,3827,201,4.7,2964,Store Xiaomi 98,Không,Hà Nội,4.4,2022
Galaxy Z Fold5,Samsung,Điện thoại,19849453,17070529,14,142,534,4.3,111,Digital Samsung 20,Có,Đà Nẵng,4.2,2025
Pavilion 14,HP,Laptop,45507555,27304533,40,2775,527,4.6,2006,Smart HP 83,Không,Cần Thơ,4.2,2021
iPhone 15,Apple,Điện thoại,37770353,31727096,16,4451,1314,4.9,4297,Tech Apple 10,Có,TP.HCM,4.4,2019
Galaxy Z Fold5,Samsung,Điện thoại,15135428,14378656,5,1801,1035,4.2,128,Center Samsung 82,Không,Cần Thơ,4.0,2024
XPS 13,Dell,Laptop,12795305,12027586,6,4346,1479,3.9,2353,Tech Dell 65,Không,Hà Nội,4.1,2017
Inspiron 15,Dell,Laptop,28171144,23382049,17,4322,516,4.7,2194,Mega Dell 51,Có,Đà Nẵng,5.0,2023
Inspiron 15,Dell,Laptop,58790737,47620496,19,2467,1400,4.7,335,Smart Dell 84,Có,TP.HCM,4.4,2022
XPS 13,Dell,Laptop,15765809,14977518,5,1413,169,4.2,893,Smart Dell 43,Có,Hải Phòng,4.9,2019
AirPods Pro 2,Apple,Tai nghe,9809060,6375889,35,2230,95,4.9,1153,Center Apple 73,Có,Hà Nội,4.9,2021
Galaxy S24,Samsung,Điện thoại,14676531,10273571,30,640,612,3.7,251,Center Samsung 50,Không,Cần Thơ,4.8,2018
EliteBook 840,HP,Laptop,17263193,10875811,37,2843,109,3.6,955,Mega HP 10,Không,Hải Phòng,4.8,2025
