STT;Tinh_Thanh;Phuong_Xa;Dia_Chi_Cu_The;Ma_San_Pham;Ten_San_Pham;Nhom_Hang;So_Luong;Don_Gia ;Ty_Le_Giam_Gia; Tien_Giam ;Tong_Hang ;Tong_Thanh_Toan ;Tan_suat_mua_hang ;Thuong_Hieu;Danh_Muc
20;An Giang;Phường Mỹ Long;132 Trần Hưng Đạo, TP. Long Xuyên (FPT Shop);SP011;Tai nghe AirPods 3;Đồ điện tử;2;3.990.000;3;239;7.980.000;8.550.000;12;Apple;Tai nghe
21;TP. Hồ Chí Minh;Phường Phạm Ngũ Lão;3A Lê Lai (Di Động Việt);SP002;Samsung Galaxy S24;Đồ điện tử;2;18.990.000;1;3.798.000;37.980.000;37.628.000;20;Samsung;Điện thoại
22;An Giang;Phường Mỹ Bình;311 Trần Hưng Đạo, TP. Long Xuyên (Thế Giới Di Động);SP001;Samsung Galaxy A15;Đồ điện tử;10;4.590.000;0;0;45.900.000;50.530.000;6;Samsung;Điện thoại
23;Cần Thơ;Phường An Khánh;132 Đường 3 Tháng 2 (Thế Giới Di Động);SP012;Tai nghe Samsung Galaxy Buds FE;Đồ điện tử;3;1.590.000;1;477;4.770.000;4.747.000;20;Samsung;Tai nghe
24;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP015;Smart TV Samsung 43 inch;Đồ điện tử;6;7.990.000;7;3.356.000;47.940.000;49.072.000;4;Samsung;Tivi
25;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP024;Samsung Galaxy Watch6;Đồ điện tử;3;5.490.000;3;494;16.470.000;17.596.000;11;Samsung;Đồng hồ thông minh
26;Tây Ninh;Phường Trảng Bàng;152 QL22, Trảng Bàng (CellphoneS);SP024;Samsung Galaxy Watch6;Đồ điện tử;1;5.490.000;0;0;5.490.000;6.057.000;20;Samsung;Đồng hồ thông minh
27;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP008;Laptop Dell Inspiron 15;Đồ điện tử;3;13.990.000;2;8.394.000;41.970.000;36.952.000;20;Dell;Laptop
28;Đồng Nai;Phường Quyết Thắng;9-10 Đồng Khởi (Phong Vũ);SP004;iPhone 14;Đồ điện tử;1;16.990.000;7;1.189.000;16.990.000;17.403.000;20;Apple;Điện thoại
29;An Giang;Phường Châu Phú A;42 Nguyễn Huệ, TP. Châu Đốc (CellphoneS);SP022;Cáp sạc Type-C Anker;Đồ điện tử;5;190;5;48;950;1.037.000;19;Anker;Phụ kiện
30;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP024;Samsung Galaxy Watch6;Đồ điện tử;1;5.490.000;5;274;5.490.000;5.760.000;20;Samsung;Đồng hồ thông minh
31;Tây Ninh;Phường Trảng Bàng;152 QL22, Trảng Bàng (CellphoneS);SP024;Samsung Galaxy Watch6;Đồ điện tử;3;5.490.000;7;1.153.000;16.470.000;16.867.000;20;Samsung;Đồng hồ thông minh
32;Cà Mau;Phường 5;12 Trần Hưng Đạo, TP. Cà Mau (Thế Giới Di Động);SP007;MacBook Air M2;Đồ điện tử;1;23.990.000;12;2.879.000;23.990.000;23.240.000;20;Apple;Laptop
33;Đồng Nai;Phường Trảng Dài;395 Phạm Văn Thuận (CellphoneS);SP024;Samsung Galaxy Watch6;Đồ điện tử;3;5.490.000;0;0;16.470.000;18.145.000;3;Samsung;Đồng hồ thông minh
34;An Giang;Phường Mỹ Bình;311 Trần Hưng Đạo, TP. Long Xuyên (Thế Giới Di Động);SP006;Xiaomi Pad 6;Đồ điện tử;1;7.990.000;0;0;7.990.000;8.829.000;20;Xiaomi;Máy tính bảng
35;Tây Ninh;Phường Trảng Bàng;152 QL22, Trảng Bàng (CellphoneS);SP011;Tai nghe AirPods 3;Đồ điện tử;1;3.990.000;15;598;3.990.000;3.771.000;20;Apple;Tai nghe
36;TP. Hồ Chí Minh;Phường Phạm Ngũ Lão;3A Lê Lai (Di Động Việt);SP007;MacBook Air M2;Đồ điện tử;1;23.990.000;1;2.399.000;23.990.000;23.790.000;20;Apple;Laptop
37;An Giang;Phường Mỹ Bình;311 Trần Hưng Đạo, TP. Long Xuyên (Thế Giới Di Động);SP010;Laptop Asus Vivobook 15;Đồ điện tử;1;12.990.000;1;1.299.000;12.990.000;12.882.000;20;Asus;Laptop
38;Cần Thơ;Phường Tân An;209 Đại lộ Hòa Bình (Phong Vũ);SP022;Cáp sạc Type-C Anker;Đồ điện tử;3;190;2;114;570;547;20;Anker;Phụ kiện
39;An Giang;Phường Mỹ Long;132 Trần Hưng Đạo, TP. Long Xuyên (FPT Shop);SP016;Smart TV LG 55 inch;Đồ điện tử;2;11.990.000;7;1.679.000;23.980.000;24.571.000;20;LG;Tivi
40;Cà Mau;Phường 5;12 Trần Hưng Đạo, TP. Cà Mau (Thế Giới Di Động);SP002;Samsung Galaxy S24;Đồ điện tử;4;18.990.000;15;11.394.000;75.960.000;71.058.000;20;Samsung;Điện thoại
41;An Giang;Phường Mỹ Long;132 Trần Hưng Đạo, TP. Long Xuyên (FPT Shop);SP006;Xiaomi Pad 6;Đồ điện tử;1;7.990.000;12;959;7.990.000;7.752.000;20;Xiaomi;Máy tính bảng
42;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP026;Camera Xiaomi C300;Đồ điện tử;4;990;0;0;3.960.000;4.401.000;2;Xiaomi;Camera
43;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP013;Tai nghe Xiaomi Redmi Buds 5;Đồ điện tử;2;990;0;0;1.980.000;2.196.000;2;Xiaomi;Tai nghe
44;Đồng Nai;Phường Tân Hiệp;282 Phạm Văn Thuận (Thế Giới Di Động);SP016;Smart TV LG 55 inch;Đồ điện tử;5;11.990.000;5;2.998.000;59.950.000;62.665.000;20;LG;Tivi
45;An Giang;Phường Mỹ Long;132 Trần Hưng Đạo, TP. Long Xuyên (FPT Shop);SP019;Bàn phím Logitech K380;Đồ điện tử;3;690;3;62;2.070.000;2.231.000;20;Logitech;Phụ kiện
46;An Giang;Phường Mỹ Bình;311 Trần Hưng Đạo, TP. Long Xuyên (Thế Giới Di Động);SP010;Laptop Asus Vivobook 15;Đồ điện tử;2;12.990.000;15;3.897.000;25.980.000;24.319.000;19;Asus;Laptop
47;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP019;Bàn phím Logitech K380;Đồ điện tử;6;690;5;207;4.140.000;4.351.000;20;Logitech;Phụ kiện
48;Cà Mau;Phường 7;20 Nguyễn Trãi, TP. Cà Mau (CellphoneS);SP001;Samsung Galaxy A15;Đồ điện tử;4;4.590.000;1;1.836.000;18.360.000;18.204.000;1;Samsung;Điện thoại
49;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP001;Samsung Galaxy A15;Đồ điện tử;5;4.590.000;1;2.295.000;22.950.000;22.749.000;4;Samsung;Điện thoại
50;An Giang;Phường Châu Phú A;42 Nguyễn Huệ, TP. Châu Đốc (CellphoneS);SP001;Samsung Galaxy A15;Đồ điện tử;1;4.590.000;0;0;4.590.000;5.067.000;20;Samsung;Điện thoại
51;An Giang;Phường Mỹ Bình;311 Trần Hưng Đạo, TP. Long Xuyên (Thế Giới Di Động);SP009;Laptop HP Pavilion 14;Đồ điện tử;2;15.990.000;0;0;31.980.000;35.213.000;20;HP;Laptop
52;Đồng Nai;Phường Trảng Dài;395 Phạm Văn Thuận (CellphoneS);SP001;Samsung Galaxy A15;Đồ điện tử;5;4.590.000;5;1.148.000;22.950.000;24.027.000;20;Samsung;Điện thoại
53;TP. Hồ Chí Minh;Phường Bến Thành;136 Nguyễn Thái Học (Thế Giới Di Động);SP003;iPhone 15;Đồ điện tử;1;19.990.000;5;1.000.000;19.990.000;20.914.000;20;Apple;Điện thoại
54;Cà Mau;Phường 6;84 Phan Ngọc Hiển, TP. Cà Mau (FPT Shop);SP001;Samsung Galaxy A15;Đồ điện tử;2;4.590.000;1;918;9.180.000;9.118.000;20;Samsung;Điện thoại
55;Cần Thơ;Phường Xuân Khánh;24B Nguyễn Trãi (Di Động Việt);SP007;MacBook Air M2;Đồ điện tử;2;23.990.000;5;2.399.000;47.980.000;50.169.000;11;Apple;Laptop
56;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP015;Smart TV Samsung 43 inch;Đồ điện tử;2;7.990.000;0;0;15.980.000;17.618.000;4;Samsung;Tivi
57;Đồng Tháp;Phường 2;89 Hùng Vương, TP. Sa Đéc (FPT Shop);SP014;Loa Bluetooth JBL Go 4;Đồ điện tử;5;1.190.000;15;892;5.950.000;5.594.000;20;JBL;Loa
58;Vĩnh Long;Phường 2;12 Lê Thái Tổ, TP. Vĩnh Long (FPT Shop);SP024;Samsung Galaxy Watch6;Đồ điện tử;2;5.490.000;12;1.318.000;10.980.000;10.656.000;4;Samsung;Đồng hồ thông minh
59;Đồng Tháp;Phường 2;89 Hùng Vương, TP. Sa Đéc (FPT Shop);SP006;Xiaomi Pad 6;Đồ điện tử;1;7.990.000;3;240;7.990.000;8.543.000;7;Xiaomi;Máy tính bảng
60;Tây Ninh;Phường 1;464 Đường 30 Tháng 4, TP. Tây Ninh (FPT Shop);SP001;Samsung Galaxy A15;Đồ điện tử;1;4.590.000;7;321;4.590.000;4.718.000;20;Samsung;Điện thoại
61;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP002;Samsung Galaxy S24;Đồ điện tử;3;18.990.000;0;0;56.970.000;62.692.000;20;Samsung;Điện thoại
62;Cần Thơ;Phường Xuân Khánh;24B Nguyễn Trãi (Di Động Việt);SP024;Samsung Galaxy Watch6;Đồ điện tử;8;5.490.000;15;6.588.000;43.920.000;41.095.000;20;Samsung;Đồng hồ thông minh
63;TP. Hồ Chí Minh;Phường Phạm Ngũ Lão;3A Lê Lai (Di Động Việt);SP024;Samsung Galaxy Watch6;Đồ điện tử;8;5.490.000;15;6.588.000;43.920.000;41.090.000;20;Samsung;Đồng hồ thông minh
64;Cà Mau;Phường 7;20 Nguyễn Trãi, TP. Cà Mau (CellphoneS);SP019;Bàn phím Logitech K380;Đồ điện tử;2;690;1;138;1.380.000;1.396.000;20;Logitech;Phụ kiện
65;An Giang;Phường Mỹ Long;132 Trần Hưng Đạo, TP. Long Xuyên (FPT Shop);SP015;Smart TV Samsung 43 inch;Đồ điện tử;1;7.990.000;7;559;7.990.000;8.199.000;1;Samsung;Tivi
66;Đồng Nai;Phường Trung Dũng;240 Đồng Khởi (FPT Shop);SP014;Loa Bluetooth JBL Go 4;Đồ điện tử;1;1.190.000;15;178;1.190.000;1.138.000;20;JBL;Loa
67;Đồng Nai;Phường Quyết Thắng;9-10 Đồng Khởi (Phong Vũ);SP001;Samsung Galaxy A15;Đồ điện tử;1;4.590.000;0;0;4.590.000;5.077.000;15;Samsung;Điện thoại
68;Đồng Nai;Phường Trung Dũng;240 Đồng Khởi (FPT Shop);SP019;Bàn phím Logitech K380;Đồ điện tử;1;690;0;0;690;789;1;Logitech;Phụ kiện
69;TP. Hồ Chí Minh;Phường Võ Thị Sáu;202 Nguyễn Thị Minh Khai (FPT Shop);SP017;Màn hình Dell 24 inch;Đồ điện tử;6;3.290.000;12;2.369.000;19.740.000;19.138.000;20;Dell;Màn hình
70;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;1;1.190.000;15;178;1.190.000;1.153.000;20;Kingston;Linh kiện
71;Cần Thơ;Phường Ninh Kiều;118 Đường 3 Tháng 2 (FPT Shop);SP024;Samsung Galaxy Watch6;Đồ điện tử;1;5.490.000;15;824;5.490.000;5.168.000;20;Samsung;Đồng hồ thông minh
72;An Giang;Phường Châu Phú A;42 Nguyễn Huệ, TP. Châu Đốc (CellphoneS);SP013;Tai nghe Xiaomi Redmi Buds 5;Đồ điện tử;1;990;0;0;990;1.114.000;20;Xiaomi;Tai nghe
73;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP015;Smart TV Samsung 43 inch;Đồ điện tử;3;7.990.000;1;2.397.000;23.970.000;23.758.000;20;Samsung;Tivi
74;TP. Hồ Chí Minh;Phường Bến Thành;136 Nguyễn Thái Học (Thế Giới Di Động);SP001;Samsung Galaxy A15;Đồ điện tử;8;4.590.000;2;7.344.000;36.720.000;32.342.000;20;Samsung;Điện thoại
75;TP. Hồ Chí Minh;Phường Phạm Ngũ Lão;3A Lê Lai (Di Động Việt);SP008;Laptop Dell Inspiron 15;Đồ điện tử;3;13.990.000;7;2.938.000;41.970.000;42.980.000;20;Dell;Laptop
76;An Giang;Phường Mỹ Bình;311 Trần Hưng Đạo, TP. Long Xuyên (Thế Giới Di Động);SP010;Laptop Asus Vivobook 15;Đồ điện tử;1;12.990.000;3;390;12.990.000;13.878.000;2;Asus;Laptop
77;Tây Ninh;Phường 1;464 Đường 30 Tháng 4, TP. Tây Ninh (FPT Shop);SP001;Samsung Galaxy A15;Đồ điện tử;4;4.590.000;15;2.754.000;18.360.000;17.197.000;3;Samsung;Điện thoại
78;Đồng Tháp;Phường Mỹ Phú;156 Điện Biên Phủ, TP. Cao Lãnh (CellphoneS);SP011;Tai nghe AirPods 3;Đồ điện tử;1;3.990.000;0;0;3.990.000;4.429.000;20;Apple;Tai nghe
79;Cần Thơ;Phường An Khánh;132 Đường 3 Tháng 2 (Thế Giới Di Động);SP022;Cáp sạc Type-C Anker;Đồ điện tử;1;190;0;0;190;231;20;Anker;Phụ kiện
80;Vĩnh Long;Phường 2;12 Lê Thái Tổ, TP. Vĩnh Long (FPT Shop);SP011;Tai nghe AirPods 3;Đồ điện tử;4;3.990.000;3;479;15.960.000;17.047.000;9;Apple;Tai nghe
81;Vĩnh Long;Phường 1;33/1 Phạm Thái Bường, TP. Vĩnh Long (Thế Giới Di Động);SP018;Chuột Logitech M331;Đồ điện tử;3;390;12;140;1.170.000;1.158.000;20;Logitech;Phụ kiện
82;Tây Ninh;Phường 3;921 Cách Mạng Tháng 8, TP. Tây Ninh (Thế Giới Di Động);SP014;Loa Bluetooth JBL Go 4;Đồ điện tử;3;1.190.000;15;536;3.570.000;3.372.000;3;JBL;Loa
83;An Giang;Phường Mỹ Bình;311 Trần Hưng Đạo, TP. Long Xuyên (Thế Giới Di Động);SP001;Samsung Galaxy A15;Đồ điện tử;1;4.590.000;1;459;4.590.000;4.572.000;20;Samsung;Điện thoại
84;TP. Hồ Chí Minh;Phường Phạm Ngũ Lão;3A Lê Lai (Di Động Việt);SP011;Tai nghe AirPods 3;Đồ điện tử;3;3.990.000;5;598;11.970.000;12.539.000;20;Apple;Tai nghe
85;Đồng Nai;Phường Tân Tiến;389 Phạm Văn Thuận (Di Động Việt);SP010;Laptop Asus Vivobook 15;Đồ điện tử;4;12.990.000;7;3.637.000;51.960.000;53.177.000;20;Asus;Laptop
86;Đồng Nai;Phường Tân Hiệp;282 Phạm Văn Thuận (Thế Giới Di Động);SP008;Laptop Dell Inspiron 15;Đồ điện tử;1;13.990.000;5;700;13.990.000;14.659.000;20;Dell;Laptop
87;Cần Thơ;Phường An Khánh;132 Đường 3 Tháng 2 (Thế Giới Di Động);SP017;Màn hình Dell 24 inch;Đồ điện tử;1;3.290.000;12;395;3.290.000;3.210.000;20;Dell;Màn hình
88;Đồng Tháp;Phường Mỹ Phú;156 Điện Biên Phủ, TP. Cao Lãnh (CellphoneS);SP009;Laptop HP Pavilion 14;Đồ điện tử;1;15.990.000;1;1.599.000;15.990.000;15.852.000;20;HP;Laptop
89;An Giang;Phường Mỹ Bình;311 Trần Hưng Đạo, TP. Long Xuyên (Thế Giới Di Động);SP003;iPhone 15;Đồ điện tử;3;19.990.000;0;0;59.970.000;65.992.000;5;Apple;Điện thoại
90;TP. Hồ Chí Minh;Phường Bến Thành;136 Nguyễn Thái Học (Thế Giới Di Động);SP019;Bàn phím Logitech K380;Đồ điện tử;1;690;12;83;690;686;20;Logitech;Phụ kiện
91;Đồng Nai;Phường Quyết Thắng;9-10 Đồng Khởi (Phong Vũ);SP024;Samsung Galaxy Watch6;Đồ điện tử;2;5.490.000;1;1.098.000;10.980.000;10.910.000;20;Samsung;Đồng hồ thông minh
92;Cà Mau;Phường 7;20 Nguyễn Trãi, TP. Cà Mau (CellphoneS);SP006;Xiaomi Pad 6;Đồ điện tử;3;7.990.000;15;3.596.000;23.970.000;22.436.000;20;Xiaomi;Máy tính bảng
93;Tây Ninh;Phường Trảng Bàng;152 QL22, Trảng Bàng (CellphoneS);SP003;iPhone 15;Đồ điện tử;2;19.990.000;5;1.999.000;39.980.000;41.797.000;2;Apple;Điện thoại
94;Đồng Nai;Phường Trảng Dài;395 Phạm Văn Thuận (CellphoneS);SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;4;1.190.000;1;476;4.760.000;4.740.000;20;Kingston;Linh kiện
95;An Giang;Phường Mỹ Bình;311 Trần Hưng Đạo, TP. Long Xuyên (Thế Giới Di Động);SP021;Sạc nhanh Anker 20W;Đồ điện tử;4;350;3;42;1.400.000;1.529.000;20;Anker;Phụ kiện
96;Đồng Nai;Phường Trảng Dài;395 Phạm Văn Thuận (CellphoneS);SP006;Xiaomi Pad 6;Đồ điện tử;1;7.990.000;2;1.598.000;7.990.000;7.049.000;20;Xiaomi;Máy tính bảng
97;TP. Hồ Chí Minh;Phường Tân Định;157-159 Nguyễn Thị Minh Khai (Phong Vũ);SP009;Laptop HP Pavilion 14;Đồ điện tử;1;15.990.000;15;2.398.000;15.990.000;14.973.000;20;HP;Laptop
98;TP. Hồ Chí Minh;Phường Bến Thành;136 Nguyễn Thái Học (Thế Giới Di Động);SP018;Chuột Logitech M331;Đồ điện tử;2;390;3;23;780;851;20;Logitech;Phụ kiện
99;Cà Mau;Phường 7;20 Nguyễn Trãi, TP. Cà Mau (CellphoneS);SP025;Máy in Canon LBP 2900;Đồ điện tử;8;4.290.000;0;0;34.320.000;37.797.000;20;Canon;Máy in
100;Đồng Nai;Phường Tân Tiến;389 Phạm Văn Thuận (Di Động Việt);SP011;Tai nghe AirPods 3;Đồ điện tử;2;3.990.000;3;239;7.980.000;8.543.000;4;Apple;Tai nghe
101;Đồng Nai;Phường Trung Dũng;240 Đồng Khởi (FPT Shop);SP003;iPhone 15;Đồ điện tử;5;19.990.000;2;19.990.000;99.950.000;87.984.000;20;Apple;Điện thoại
102;Vĩnh Long;Phường 3;56 Nguyễn Huệ, TP. Vĩnh Long (CellphoneS);SP021;Sạc nhanh Anker 20W;Đồ điện tử;8;350;5;140;2.800.000;2.954.000;20;Anker;Phụ kiện
103;Cà Mau;Phường 6;84 Phan Ngọc Hiển, TP. Cà Mau (FPT Shop);SP002;Samsung Galaxy S24;Đồ điện tử;1;18.990.000;5;950;18.990.000;19.874.000;5;Samsung;Điện thoại
104;TP. Hồ Chí Minh;Phường Bến Thành;136 Nguyễn Thái Học (Thế Giới Di Động);SP019;Bàn phím Logitech K380;Đồ điện tử;3;690;12;248;2.070.000;2.049.000;20;Logitech;Phụ kiện
105;An Giang;Phường Châu Phú A;42 Nguyễn Huệ, TP. Châu Đốc (CellphoneS);SP018;Chuột Logitech M331;Đồ điện tử;2;390;12;94;780;785;20;Logitech;Phụ kiện
106;Đồng Nai;Phường Tân Hiệp;282 Phạm Văn Thuận (Thế Giới Di Động);SP002;Samsung Galaxy S24;Đồ điện tử;1;18.990.000;5;950;18.990.000;19.869.000;20;Samsung;Điện thoại
107;Cà Mau;Phường 6;84 Phan Ngọc Hiển, TP. Cà Mau (FPT Shop);SP008;Laptop Dell Inspiron 15;Đồ điện tử;1;13.990.000;0;0;13.990.000;15.434.000;20;Dell;Laptop
108;Đồng Nai;Phường Tân Hiệp;282 Phạm Văn Thuận (Thế Giới Di Động);SP022;Cáp sạc Type-C Anker;Đồ điện tử;2;190;0;0;380;436;20;Anker;Phụ kiện
109;Đồng Nai;Phường Tân Tiến;389 Phạm Văn Thuận (Di Động Việt);SP008;Laptop Dell Inspiron 15;Đồ điện tử;2;13.990.000;0;0;27.980.000;30.803.000;5;Dell;Laptop
110;Cần Thơ;Phường Tân An;209 Đại lộ Hòa Bình (Phong Vũ);SP016;Smart TV LG 55 inch;Đồ điện tử;1;11.990.000;2;2.398.000;11.990.000;10.591.000;20;LG;Tivi
111;TP. Hồ Chí Minh;Phường 14;55B Trần Quang Khải (CellphoneS);SP020;Ổ cứng SSD Kingston 500GB;Đồ điện tử;2;1.190.000;3;71;2.380.000;2.585.000;20;Kingston;Linh kiện
112;Đồng Nai;Phường Trảng Dài;395 Phạm Văn Thuận (CellphoneS);SP016;Smart TV LG 55 inch;Đồ điện tử;2;11.990.000;3;719;23.980.000;25.622.000;20;LG;Tivi
113;Đồng Tháp;Phường Mỹ Phú;156 Điện Biên Phủ, TP. Cao Lãnh (CellphoneS);SP001;Samsung Galaxy A15;Đồ điện tử;1;4.590.000;12;551;4.590.000;4.461.000;19;Samsung;Điện thoại
114;Vĩnh Long;Phường 1;33/1 Phạm Thái Bường, TP. Vĩnh Long (Thế Giới Di Động);SP022;Cáp sạc Type-C Anker;Đồ điện tử;1;190;3;6;190;242;20;Anker;Phụ kiện
115;An Giang;Phường Châu Phú A;42 Nguyễn Huệ, TP. Châu Đốc (CellphoneS);SP023;Apple Watch SE;Đồ điện tử;2;5.990.000;0;0;11.980.000;13.208.000;17;Apple;Đồng hồ thông minh
116;Vĩnh Long;Phường 1;33/1 Phạm Thái Bường, TP. Vĩnh Long (Thế Giới Di Động);SP011;Tai nghe AirPods 3;Đồ điện tử;1;3.990.000;2;798;3.990.000;3.529.000;20;Apple;Tai nghe
117;Đồng Tháp;Phường Mỹ Phú;156 Điện Biên Phủ, TP. Cao Lãnh (CellphoneS);SP021;Sạc nhanh Anker 20W;Đồ điện tử;1;350;12;42;350;369;20;Anker;Phụ kiện
118;Vĩnh Long;Phường 2;12 Lê Thái Tổ, TP. Vĩnh Long (FPT Shop);SP026;Camera Xiaomi C300;Đồ điện tử;1;990;5;50;990;1.062.000;20;Xiaomi;Camera
119;Cần Thơ;Phường Tân An;209 Đại lộ Hòa Bình (Phong Vũ);SP008;Laptop Dell Inspiron 15;Đồ điện tử;2;13.990.000;3;839;27.980.000;29.873.000;2;Dell;Laptop
120;Cần Thơ;Phường An Khánh;132 Đường 3 Tháng 2 (Thế Giới Di Động);SP003;iPhone 15;Đồ điện tử;2;19.990.000;3;1.199.000;39.980.000;42.689.000;20;Apple;Điện thoại
121;Đồng Tháp;Phường 1;239 Nguyễn Huệ, TP. Cao Lãnh (Thế Giới Di Động);SP019;Bàn phím Logitech K380;Đồ điện tử;6;690;5;207;4.140.000;4.366.000;4;Logitech;Phụ kiện
122;Đồng Nai;Phường Trung Dũng;240 Đồng Khởi (FPT Shop);SP005;Xiaomi Redmi Note 13;Đồ điện tử;3;4.990.000;0;0;14.970.000;16.492.000;5;Xiaomi;Điện thoại
