STT;Ma_ky_bao_cao;Nam_bao_cao;Tuan_bao_cao;Loai_luong_(XNK);Ten_nuoc_doi_tac;Mo_hang_hoa;Don_vi_so_luong;So_luong;So_luong_thay_the;Trong_luong_tinh_kg;Gia_tri_CIF_(USD);Gia_tri_FOB_(USD);Gia_tri_chinh_(USD)
134;20150101;2015;52;Nhập khẩu;Hy Lạp;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;2287;2287;3324;608159,58;0;608159,58
135;20150101;2015;52;Nhập khẩu;Ý;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;1153;1153;904;238688,422;0;238688,422
136;20150101;2015;52;Nhập khẩu;Malta;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;120;120;76;23699,198;0;23699,198
137;20150101;2015;52;Nhập khẩu;Ba Lan;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;180;180;84;20570,371;0;20570,371
138;20150101;2015;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;801;801;421;164189,062;0;164189,062
139;20150101;2015;52;Nhập khẩu;Slovenia;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;700;700;539;129270,469;0;129270,469
221;20150101;2015;52;Nhập khẩu;Hồng Kông (Trung Quốc);Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;kg;74;74;74;6971;0;6971
222;20150101;2015;52;Nhập khẩu;Hungary;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;kg;3;3;3;949;0;949
223;20150101;2015;52;Nhập khẩu;Ireland;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;kg;17;17;17;21654;0;21654
224;20150101;2015;52;Nhập khẩu;Ý;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;kg;1;1;1;608;0;608
225;20150101;2015;52;Nhập khẩu;Nhật Bản;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;kg;4,359;0;4,359;95992;0;95992
229;20150101;2015;52;Nhập khẩu;Slovakia;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;kg;2;2;2;310;0;310
233;20150101;2015;52;Nhập khẩu;Áo;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;540;540;159;97137,863;0;97137,863
236;20150101;2015;52;Nhập khẩu;Đức;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;81561;81561;16534;2453387,321;0;2453387,321
240;20150101;2015;52;Nhập khẩu;Ba Lan;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;390;390;115;55974,931;0;55974,931
241;20150101;2015;52;Nhập khẩu;Trung Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;25884;25884;9179;6275743,929;0;6275743,929
242;20150101;2015;52;Nhập khẩu;Slovenia;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;908;908;285;161188,939;0;161188,939
243;20150101;2015;52;Nhập khẩu;Thế giới;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;11787,733;0;13136,9;2061524,957;1979808,479;2061524,957
244;20150101;2015;52;Nhập khẩu;Trung Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;1460,004;0;1873;255336,14;244248,2;255336,14
245;20150101;2015;52;Nhập khẩu;Trung Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;10327,729;0;11263,9;1806188,817;1735560,279;1806188,817
257;20150101;2015;52;Nhập khẩu;Trung Quốc;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;1671,598;0;1759,71;89102;0;89102
258;20150101;2015;52;Nhập khẩu;Trung Quốc;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;2834,851;0;13436,467;880246;0;880246
260;20150101;2015;52;Nhập khẩu;Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;994;994;11842;143088,497;0;143088,497
262;20150101;2015;52;Nhập khẩu;Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;13;13;325;2231,231;0;2231,231
270;20150101;2015;52;Nhập khẩu;Trung Quốc;Mạch tích hợp điện tử;chiếc/đơn vị;14274343,55;0;1779,523;17055958;0;17055958
279;20150101;2015;52;Nhập khẩu;Châu Á khác (chưa xác định);Mạch tích hợp điện tử;chiếc/đơn vị;21527,558;0;6;33256;0;33256
280;20150101;2015;52;Nhập khẩu;Philippines;Mạch tích hợp điện tử;chiếc/đơn vị;901276,984;0;214,106;593643;0;593643
282;20150101;2015;52;Nhập khẩu;Trung Quốc;Mạch tích hợp điện tử;chiếc/đơn vị;657322082,6;0;398969,021;1716563322;0;1716563322
284;20150101;2015;52;Nhập khẩu;Hoa Kỳ;Mạch tích hợp điện tử;chiếc/đơn vị;314926,322;0;66,048;458573;0;458573
291;20150101;2015;52;Xuất khẩu;Hàn Quốc;Máy in, máy photocopy, máy fax và phụ tùng;kg;20;20;20;0;4329;4329
293;20150101;2015;52;Xuất khẩu;Thái Lan;Máy in, máy photocopy, máy fax và phụ tùng;kg;669;669;669;0;8273;8273
294;20150101;2015;52;Xuất khẩu;Hoa Kỳ;Máy in, máy photocopy, máy fax và phụ tùng;kg;4;4;4;0;61;61
296;20150101;2015;52;Xuất khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;1675622,051;0;2821188,361;0;475274869;475274869
317;20150101;2015;52;Xuất khẩu;Hàn Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;kg;471;471;471;0;280388;280388
319;20150101;2015;52;Xuất khẩu;Ấn Độ;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;1160,997;0;338,558;0;231040;231040
322;20150101;2015;52;Xuất khẩu;Hoa Kỳ;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;kg;160;160;160;0;1877;1877
326;20150101;2015;52;Xuất khẩu;Trung Quốc;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;2347266,829;0;4371778,7;0;212884247;212884247
336;20150101;2015;52;Nhập khẩu;Nhật Bản;Máy in, máy photocopy, máy fax và phụ tùng;kg;5475;5475;5475;343441,374;0;343441,374
341;20150101;2015;52;Nhập khẩu;Hoa Kỳ;Máy in, máy photocopy, máy fax và phụ tùng;kg;21;21;21;363,826;0;363,826
342;20150101;2015;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;2462403,238;0;1143437,874;354888692,5;0;354888692,5
343;20150101;2015;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;4970;4970;4340;408521,786;0;408521,786
344;20150101;2015;52;Nhập khẩu;Nhật Bản;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;332;332;1099;80967,832;0;80967,832
345;20150101;2015;52;Nhập khẩu;Hàn Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;720;720;409;104642,008;0;104642,008
347;20150101;2015;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;2454271,101;0;1136117,874;354104870,2;0;354104870,2
349;20150101;2015;52;Nhập khẩu;Hoa Kỳ;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;1389,137;0;919;85789,63;0;85789,63
381;20150101;2015;52;Nhập khẩu;Brazil;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;kg;10;10;10;1217,928;0;1217,928
383;20150101;2015;52;Nhập khẩu;Pháp;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;7,453;0;27;2993,797;0;2993,797
384;20150101;2015;52;Nhập khẩu;Hồng Kông (Trung Quốc);Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;kg;140;140;140;3965,477;0;3965,477
386;20150101;2015;52;Nhập khẩu;Hàn Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;17763;17763;6318;6128862,801;0;6128862,801
388;20150101;2015;52;Nhập khẩu;Mexico;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;kg;6;6;6;1517,419;0;1517,419
389;20150101;2015;52;Nhập khẩu;Qatar;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;558;558;143;46125,986;0;46125,986
390;20150101;2015;52;Nhập khẩu;Ấn Độ;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;3890;3890;1195;756747,244;0;756747,244
392;20150101;2015;52;Nhập khẩu;Thái Lan;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;233,329;0;3;21097,447;0;21097,447
396;20150101;2015;52;Nhập khẩu;Venezuela;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;615;615;252;9030,196;0;9030,196
397;20150101;2015;52;Nhập khẩu;Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;1099;1099;1116;287194,825;0;287194,825
401;20150101;2015;52;Nhập khẩu;Trung Quốc;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;1091;1091;1111;285623,054;0;285623,054
403;20150101;2015;52;Nhập khẩu;Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;403028,267;0;419409;25285859,65;0;25285859,65
405;20150101;2015;52;Nhập khẩu;Indonesia;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;2026;2026;2250;71554,954;0;71554,954
406;20150101;2015;52;Nhập khẩu;Trung Quốc;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;401001,267;0;417153;25214193,78;0;25214193,78
417;20150101;2015;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;58;58;1037;3412,927;0;3412,927
418;20150101;2015;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;57;57;37;2618,682;0;2618,682
420;20150101;2015;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;55209;55209;38125;11605335,89;0;11605335,89
430;20150101;2015;52;Nhập khẩu;Trung Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;1571;1571;314;79078,879;0;79078,879
433;20150101;2015;52;Nhập khẩu;Thế giới;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;387840,224;0;170476;87450690,6;0;87450690,6
434;20150101;2015;52;Nhập khẩu;Trung Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;40;40;32;10520,234;0;10520,234
435;20150101;2015;52;Nhập khẩu;Trung Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;387800,224;0;170444;87440170,37;0;87440170,37
440;20150101;2015;52;Nhập khẩu;Thế giới;Máy in, máy photocopy, máy fax và phụ tùng;Cái;0;11854;91972,25;1700975,93;1655389,93;1700975,93
445;20150101;2015;52;Nhập khẩu;Pháp;Máy in, máy photocopy, máy fax và phụ tùng;kg;43;43;43;249,48;0;249,48
453;20150101;2015;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;126;126;10;1490,531;0;1490,531
455;20150101;2015;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;17075;17075;7807,37;2216704,17;2143226,01;2216704,17
456;20150101;2015;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;14;14;21,57;7629,74;6802;7629,74
457;20150101;2015;52;Nhập khẩu;Malaysia;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;27;27;13,38;1138,19;943,14;1138,19
460;20150101;2015;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;16852;16852;7680,16;2198448,16;2127483,02;2198448,16
463;20150101;2015;52;Nhập khẩu;Bỉ;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;73,206;0;33,057;10234,205;0;10234,205
506;20150101;2015;52;Nhập khẩu;Trung Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;100;100;32;7883,007;0;7883,007
510;20150101;2015;52;Nhập khẩu;Thế giới;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;Cái;0;384981;96650,93;31464355,89;30829248,83;31464355,89
511;20150101;2015;52;Nhập khẩu;Trung Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;Cái;0;12054;2935,39;586283,88;564762,16;586283,88
513;20150101;2015;52;Nhập khẩu;Đức;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;kg;5,6;1;5,6;30650,1;29847;30650,1
514;20150101;2015;52;Nhập khẩu;Hàn Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;8;8;3,58;11205,59;10150;11205,59
515;20150101;2015;52;Nhập khẩu;Châu Á khác (chưa xác định);Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;61;61;159,37;13749,38;11285;13749,38
516;20150101;2015;52;Nhập khẩu;Trung Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;Cái;0;372855;93546,16;30819872,54;30210854,67;30819872,54
520;20150101;2015;52;Nhập khẩu;Ý;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;58,823;0;13;10287,427;0;10287,427
525;20150101;2015;52;Nhập khẩu;Thế giới;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;65,07;0;120;11379,915;0;11379,915
527;20150101;2015;52;Nhập khẩu;Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;125;125;1613;246435,36;0;246435,36
533;20150101;2015;52;Nhập khẩu;Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;0,283;0;6;151,905;0;151,905
545;20150101;2015;52;Xuất khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;55;55;248;0;107817,817;107817,817
547;20150101;2015;52;Xuất khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;232,461;0;188;0;80847,263;80847,263
548;20150101;2015;52;Xuất khẩu;Đức;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;5,169;0;10;0;1797,814;1797,814
549;20150101;2015;52;Xuất khẩu;Tây Ban Nha;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;227,292;0;178;0;79049,45;79049,45
559;20150101;2015;52;Xuất khẩu;Tây Ban Nha;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;875,457;0;73;0;174217,113;174217,113
560;20150101;2015;52;Xuất khẩu;Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;892;892;5211;0;431399,995;431399,995
562;20150101;2015;52;Xuất khẩu;Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;24;24;359;0;24562,093;24562,093
564;20150101;2015;52;Xuất khẩu;Thế giới;Mạch tích hợp điện tử;chiếc/đơn vị;19;19;783;0;30669,565;30669,565
569;20150101;2015;52;Nhập khẩu;Thế giới;Máy in, máy photocopy, máy fax và phụ tùng;chiếc/đơn vị;3739;3739;17033;135831,02;135831,02;135831,02
571;20150101;2015;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;170186;170186;138308;13356890;13356890;13356890
573;20150101;2015;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;170059;170059;138279;13350217,39;13350217,39;13350217,39
590;20150101;2015;52;Nhập khẩu;Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;32828;32828;942,336;375800,929;375800,929;375800,929
592;20150101;2015;52;Nhập khẩu;Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;116508;116508;117244,033;4915526,481;4915526,481;4915526,481
602;20150101;2015;52;Nhập khẩu (hàng nước ngoài);Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;838438;838438;406711,6;118870323,5;0;118870323,5
610;20150101;2015;52;Nhập khẩu (hàng nước ngoài);Trung Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;3365;3365;546;552765,733;0;552765,733
613;20150101;2015;52;Nhập khẩu (hàng nước ngoài);Thế giới;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;300;300;3;3332,687;0;3332,687
642;20150101;2015;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;403627;403627;222701,333;72810250,09;0;72810250,09
643;20150101;2015;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;1123;1123;547,194;148806,743;0;148806,743
644;20150101;2015;52;Nhập khẩu;Hàn Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;87;87;143,448;39009,895;0;39009,895
645;20150101;2015;52;Nhập khẩu;Trung Quốc;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;402417;402417;222010,692;72622433,45;0;72622433,45
652;20150101;2015;52;Nhập khẩu;Trung Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;48899,444;0;4036,313;4291444,184;0;4291444,184
653;20150101;2015;52;Nhập khẩu;Hàn Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;31287,263;0;10226,8;9238112,322;0;9238112,322
656;20150101;2015;52;Nhập khẩu;Trung Quốc;Thiết bị phát sóng vô tuyến/truyền hình, camera;chiếc/đơn vị;122;122;92,177;24188,506;0;24188,506
658;20150101;2015;52;Nhập khẩu;Thế giới;Màn hình, máy chiếu, thiết bị thu truyền hình;chiếc/đơn vị;41;41;3062,673;47072,731;0;47072,731
663;20150101;2015;52;Nhập khẩu;Trung Quốc;Máy in, máy photocopy, máy fax và phụ tùng;kg;250;250;250;3301;3220;3301
665;20150101;2015;52;Nhập khẩu;Thế giới;Máy xử lý dữ liệu tự động (máy tính) và bộ phận;chiếc/đơn vị;1039222;1039222;516190;110023439;103991296;110023439
683;20150101;2015;52;Nhập khẩu;Malaysia;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;3201;3201;1182;52620;51337;52620
685;20150101;2015;52;Nhập khẩu;Thế giới;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;77408,504;0;25586,763;13537765,78;0;13537765,78
686;20150101;2015;52;Nhập khẩu;Trung Quốc;Điện thoại (kể cả di động) và thiết bị truyền dữ liệu;chiếc/đơn vị;676,423;0;223,586;118297,804;0;118297,804
