Country;Indicator;Indicator_Code;Indicator_Value;Year;Month;Quarter;Purchase_Date;City;Region;Product_Category;Brand;Gender;Age;Customer_Segment;Unit_Price_USD;Quantity;Total_Sales_USD;Cost_USD;Profit_USD;Shipping_Method;Delivery_Days;Payment_Method;Import_Export;Supplier;Warehouse;Tax_Rate;Satisfaction_Score
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;4;2;10/04/2024;Nha Trang;Central;Gaming;Acer;Male;49;Enterprise;1766.54;19;33564.26;20402.28;13161.98;Road;3;E-Wallet;Import;Digiworld;WH-HN-02;5;4.4
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;9;3;03/09/2024;Ho Chi Minh City;South;Tablet;Xiaomi;Male;46;Budget;382.36;7;2676.52;1880.51;796.01;Air;3;Credit Card;Import;LG Vietnam;WH-HCM-01;10;3.5
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;11;4;19/11/2024;Ho Chi Minh City;South;Gaming;Acer;Female;59;Enterprise;969.36;19;18417.84;11793.04;6624.8;Air;2;Credit Card;Export;Intel Vietnam;WH-HN-02;8;4.6
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;2;1;01/02/2024;Ho Chi Minh City;South;Gaming;MSI;Female;37;Standard;2193.49;6;13160.94;9398.67;3762.27;Road;6;E-Wallet;Import;Samsung Vietnam;WH-DN-03;5;4.8
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;4;2;12/04/2024;Hanoi;North;Smartphone;Xiaomi;Female;44;Budget;947.21;7;6630.47;5481.46;1149.01;Sea;10;E-Wallet;Export;FPT Retail;WH-DN-03;10;3.9
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;2;1;05/02/2024;Ho Chi Minh City;South;Smart Watch;Samsung;Female;25;Budget;754.41;9;6789.69;4591.16;2198.53;Sea;15;Credit Card;Import;Foxconn Vietnam;WH-HN-02;10;4.1
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;5;2;28/05/2024;Ho Chi Minh City;South;Laptop;Asus;Male;41;Budget;1469.66;1;1469.66;925.84;543.82;Road;6;Bank Transfer;Export;Samsung Vietnam;WH-HCM-01;8;4.9
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;8;3;18/08/2024;Can Tho;South;Gaming;MSI;Female;29;Standard;1511.05;9;13599.45;9532.66;4066.79;Air;2;Credit Card;Import;FPT Retail;WH-HCM-01;8;3.5
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;6;2;26/06/2024;Hanoi;North;Smartphone;Apple;Male;19;Premium;896.7;17;15243.9;9710.7;5533.2;Air;1;Credit Card;Import;Digiworld;WH-HCM-01;8;4.0
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;12;4;05/12/2024;Can Tho;South;Electronic Components;Foxconn;Male;36;Premium;44.71;5;223.55;153.42;70.13;Sea;10;Cash;Import;LG Vietnam;WH-HCM-01;5;4.4
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;12;4;26/12/2024;Da Nang;Central;Laptop;Lenovo;Male;28;Budget;1561.87;6;9371.22;6189.82;3181.4;Sea;13;E-Wallet;Import;LG Vietnam;WH-HCM-01;8;3.7
Vietnam;GDP;NY.GDP.MKTP.CD;476.388.230.307.175;2024;4;2;08/04/2024;Ho Chi Minh City;South;Smart Watch;Samsung;Male;51;Standard;293.73;6;1762.38;1219.47;542.91;Road;6;Bank Transfer;Export;Viettel Store;WH-HCM-01;8;4.3
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;2;1;09/02/2023;Hanoi;North;Laptop;Asus;Male;23;Standard;1571.55;16;25144.8;20105.44;5039.36;Sea;18;Cash;Import;Samsung Vietnam;WH-DN-03;8;4.4
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;9;3;04/09/2023;Ho Chi Minh City;South;Audio Devices;JBL;Female;36;Premium;522.1;4;2088.4;1261.7;826.7;Road;5;Credit Card;Import;Digiworld;WH-HN-02;5;3.7
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;2;1;22/02/2023;Hanoi;North;Smart Watch;Apple;Female;57;Standard;176.94;9;1592.46;1230.55;361.91;Road;4;E-Wallet;Import;Digiworld;WH-HN-02;10;3.3
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;9;3;05/09/2023;Ho Chi Minh City;South;Laptop;Lenovo;Male;52;Standard;1182.13;18;21278.34;17685.99;3592.35;Road;4;Cash;Import;FPT Retail;WH-DN-03;8;3.5
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;7;3;26/07/2023;Hanoi;North;Smart Watch;Samsung;Female;19;Standard;239.96;16;3839.36;2836.52;1002.84;Air;1;Bank Transfer;Import;FPT Retail;WH-HN-02;10;5.0
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;4;2;22/04/2023;Ho Chi Minh City;South;Smartphone;Xiaomi;Female;26;Budget;1458.5;5;7292.5;6017.07;1275.43;Air;3;Credit Card;Import;Samsung Vietnam;WH-HCM-01;8;3.6
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;11;4;19/11/2023;Hanoi;North;Audio Devices;JBL;Male;41;Premium;435.2;16;6963.2;5739.61;1223.59;Road;3;Bank Transfer;Export;Intel Vietnam;WH-HCM-01;10;4.7
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;4;2;06/04/2023;Da Nang;Central;Electronic Components;Intel;Female;52;Budget;469.1;4;1876.4;1547.35;329.05;Road;6;Credit Card;Import;LG Vietnam;WH-HCM-01;8;3.7
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;8;3;20/08/2023;Da Nang;Central;Home Appliances;Samsung;Female;19;Premium;2359.31;18;42467.58;27187.83;15279.75;Sea;11;Bank Transfer;Import;Digiworld;WH-HN-02;8;4.4
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;9;3;16/09/2023;Ho Chi Minh City;South;Smartphone;Xiaomi;Male;50;Budget;1082.35;9;9741.15;6273.12;3468.03;Road;6;Credit Card;Export;Intel Vietnam;WH-HN-02;8;4.0
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;7;3;23/07/2023;Ho Chi Minh City;South;Tablet;Apple;Male;50;Premium;419.88;8;3359.04;2728.57;630.47;Air;1;Credit Card;Export;Foxconn Vietnam;WH-DN-03;8;4.1
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;10;4;23/10/2023;Hanoi;North;Smartphone;Oppo;Male;25;Premium;910.58;14;12748.12;9528.81;3219.31;Road;7;E-Wallet;Export;LG Vietnam;WH-HCM-01;8;4.3
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;12;4;18/12/2023;Ho Chi Minh City;South;Laptop;Lenovo;Male;22;Standard;2089.62;1;2089.62;1555.15;534.47;Road;3;Credit Card;Export;Samsung Vietnam;WH-HN-02;8;3.5
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;8;3;05/08/2023;Da Nang;Central;Audio Devices;Apple;Male;34;Enterprise;324.56;4;1298.24;786.84;511.4;Air;1;E-Wallet;Import;Samsung Vietnam;WH-DN-03;8;5.0
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;6;2;07/06/2023;Ho Chi Minh City;South;Tablet;Apple;Female;58;Standard;696.45;14;9750.3;8080.23;1670.07;Air;3;E-Wallet;Export;Foxconn Vietnam;WH-HN-02;8;4.9
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;6;2;08/06/2023;Hai Phong;North;Tablet;Xiaomi;Male;50;Premium;564.21;14;7898.94;6648.25;1250.69;Road;5;E-Wallet;Import;Intel Vietnam;WH-HCM-01;5;3.2
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;10;4;07/10/2023;Hanoi;North;Smartphone;Oppo;Female;42;Standard;666.84;1;666.84;452.94;213.9;Road;4;E-Wallet;Import;FPT Retail;WH-DN-03;10;3.8
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;2;1;19/02/2023;Da Nang;Central;Audio Devices;Sony;Male;49;Enterprise;514.32;3;1542.96;1145.67;397.29;Sea;17;E-Wallet;Export;LG Vietnam;WH-DN-03;5;4.3
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;12;4;25/12/2023;Ho Chi Minh City;South;Smart TV;Sony;Female;57;Premium;973.83;10;9738.3;7979.01;1759.29;Air;1;E-Wallet;Import;Viettel Store;WH-DN-03;5;4.4
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;11;4;11/11/2023;Ho Chi Minh City;South;Laptop;Asus;Male;43;Premium;1904.97;16;30479.52;22500.13;7979.39;Air;2;E-Wallet;Import;LG Vietnam;WH-HN-02;10;4.6
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;12;4;17/12/2023;Hai Phong;North;Tablet;Apple;Female;53;Standard;1073.72;13;13958.36;8659.75;5298.61;Road;3;Cash;Export;LG Vietnam;WH-HN-02;10;4.6
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;2;1;09/02/2023;Hanoi;North;Laptop;HP;Female;40;Budget;1799.93;14;25199.02;20132.71;5066.31;Sea;21;Bank Transfer;Export;Foxconn Vietnam;WH-HCM-01;8;3.1
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;5;2;11/05/2023;Hai Phong;North;Smartphone;Apple;Female;39;Premium;994.64;19;18898.16;13538.63;5359.53;Road;7;E-Wallet;Export;FPT Retail;WH-HCM-01;10;4.2
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;4;2;23/04/2023;Bien Hoa;South;Smartphone;Oppo;Female;54;Standard;336.6;10;3366.0;2711.82;654.18;Road;5;Bank Transfer;Import;Samsung Vietnam;WH-HN-02;5;4.0
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;9;3;12/09/2023;Hanoi;North;Smartphone;Xiaomi;Female;23;Enterprise;1223.99;12;14687.88;12357.1;2330.78;Road;6;E-Wallet;Export;Digiworld;WH-HN-02;8;3.1
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;12;4;18/12/2023;Ho Chi Minh City;South;Smartphone;Apple;Male;33;Budget;937.63;15;14064.45;10898.23;3166.22;Road;6;E-Wallet;Export;Digiworld;WH-DN-03;10;5.0
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;6;2;06/06/2023;Hanoi;North;Home Appliances;LG;Female;36;Budget;1363.31;19;25902.89;20691.14;5211.75;Air;3;Bank Transfer;Export;Samsung Vietnam;WH-HCM-01;10;3.9
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;1;1;19/01/2023;Ho Chi Minh City;South;Semiconductor;Nvidia;Female;40;Standard;327.52;5;1637.6;1058.03;579.57;Air;2;Bank Transfer;Import;Samsung Vietnam;WH-HN-02;8;3.9
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;11;4;22/11/2023;Ho Chi Minh City;South;Smartphone;Oppo;Male;51;Budget;1126.2;1;1126.2;724.51;401.69;Air;1;E-Wallet;Export;Samsung Vietnam;WH-HCM-01;5;3.5
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;7;3;15/07/2023;Hanoi;North;Laptop;HP;Female;33;Budget;687.75;8;5502.0;4586.76;915.24;Road;3;E-Wallet;Export;Foxconn Vietnam;WH-DN-03;10;4.0
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;4;2;21/04/2023;Ho Chi Minh City;South;Semiconductor;Intel;Male;20;Budget;2005.62;5;10028.1;7550.46;2477.64;Sea;16;Credit Card;Import;Intel Vietnam;WH-DN-03;5;3.5
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;4;2;10/04/2023;Ho Chi Minh City;South;Laptop;Lenovo;Female;31;Premium;1211.95;5;6059.75;3817.89;2241.86;Air;1;Bank Transfer;Import;Foxconn Vietnam;WH-DN-03;10;3.2
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;4;2;21/04/2023;Da Nang;Central;Semiconductor;Nvidia;Male;29;Enterprise;373.06;14;5222.84;4412.66;810.18;Air;1;E-Wallet;Import;Samsung Vietnam;WH-HCM-01;8;3.0
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;8;3;23/08/2023;Hanoi;North;Smart Watch;Samsung;Female;40;Standard;710.69;7;4974.83;3415.6;1559.23;Road;7;Cash;Export;LG Vietnam;WH-HCM-01;10;3.1
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;1;1;03/01/2023;Ho Chi Minh City;South;Laptop;Asus;Male;36;Enterprise;2398.29;4;9593.16;5864.55;3728.61;Road;4;E-Wallet;Import;Viettel Store;WH-DN-03;8;4.0
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;11;4;15/11/2023;Hanoi;North;Audio Devices;Sony;Female;45;Budget;521.07;5;2605.35;2008.7;596.65;Road;4;E-Wallet;Export;Samsung Vietnam;WH-HN-02;8;4.2
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;6;2;14/06/2023;Hanoi;North;Laptop;Dell;Female;50;Budget;2380.46;12;28565.52;19911.38;8654.14;Sea;21;Cash;Import;LG Vietnam;WH-HCM-01;8;3.9
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;1;1;22/01/2023;Ho Chi Minh City;South;Smartphone;Oppo;Female;50;Standard;954.74;5;4773.7;3611.23;1162.47;Sea;10;Credit Card;Export;FPT Retail;WH-HN-02;10;4.3
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;5;2;15/05/2023;Hanoi;North;Smartphone;Xiaomi;Female;52;Budget;548.02;13;7124.26;4656.75;2467.51;Road;4;Cash;Import;Digiworld;WH-HCM-01;8;3.7
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;2;1;15/02/2023;Hanoi;North;Gaming;Asus;Male;58;Standard;2242.59;10;22425.9;13586.01;8839.89;Air;2;Credit Card;Export;FPT Retail;WH-DN-03;8;4.0
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;9;3;05/09/2023;Hanoi;North;Tablet;Samsung;Female;53;Budget;908.25;18;16348.5;12379.67;3968.83;Air;1;E-Wallet;Import;Viettel Store;WH-HCM-01;8;3.8
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;9;3;09/09/2023;Can Tho;South;Electronic Components;Foxconn;Male;41;Budget;484.44;4;1937.76;1248.61;689.15;Sea;18;Credit Card;Export;Viettel Store;WH-HCM-01;8;4.6
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;6;2;28/06/2023;Hanoi;North;Laptop;Lenovo;Male;56;Enterprise;2481.01;16;39696.16;25084.89;14611.27;Road;3;Credit Card;Export;Intel Vietnam;WH-HN-02;5;4.2
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;11;4;26/11/2023;Ho Chi Minh City;South;Tablet;Samsung;Male;40;Standard;1073.76;5;5368.8;3541.52;1827.28;Road;7;Credit Card;Export;Viettel Store;WH-HCM-01;8;4.5
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;7;3;28/07/2023;Ho Chi Minh City;South;Electronic Components;Intel;Male;42;Budget;69.5;17;1181.5;866.73;314.77;Road;6;E-Wallet;Export;Foxconn Vietnam;WH-DN-03;10;3.6
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;9;3;13/09/2023;Hanoi;North;Smartphone;Xiaomi;Female;58;Standard;1374.63;17;23368.71;14333.7;9035.01;Sea;22;E-Wallet;Export;Viettel Store;WH-DN-03;5;4.7
Vietnam;GDP;NY.GDP.MKTP.CD;433.857.681.378.291;2023;12;4;03/12/2023;Hanoi;North;Smartphone;Xiaomi;Female;36;Enterprise;725.89;14;10162.46;7816.89;2345.57;Sea;13;E-Wallet;Import;LG Vietnam;WH-HCM-01;10;4.0
Vietnam;GDP;NY.GDP.MKTP.CD;413.445.230.668.578;2022;6;2;14/06/2022;Bien Hoa;South;Smartphone;Samsung;Male;38;Budget;399.94;5;1999.7;1346.4;653.3;Air;1;Bank Transfer;Import;Intel Vietnam;WH-HCM-01;5;4.5
Vietnam;GDP;NY.GDP.MKTP.CD;413.445.230.668.578;2022;10;4;05/10/2022;Hanoi;North;Laptop;HP;Male;56;Standard;2083.16;7;14582.12;9081.77;5500.35;Road;4;Credit Card;Export;Digiworld;WH-HCM-01;8;5.0
Vietnam;GDP;NY.GDP.MKTP.CD;413.445.230.668.578;2022;6;2;19/06/2022;Bien Hoa;South;Smart TV;Samsung;Female;28;Standard;489.39;3;1468.17;1206.73;261.44;Air;3;Bank Transfer;Export;LG Vietnam;WH-HN-02;5;3.2
Vietnam;GDP;NY.GDP.MKTP.CD;413.445.230.668.578;2022;10;4;12/10/2022;Nha Trang;Central;Electronic Components;Intel;Female;55;Enterprise;88.64;10;886.4;717.31;169.09;Air;1;Credit Card;Export;Foxconn Vietnam;WH-HCM-01;10;3.2
Vietnam;GDP;NY.GDP.MKTP.CD;413.445.230.668.578;2022;12;4;16/12/2022;Hai Phong;North;Audio Devices;Sony;Female;19;Premium;435.53;10;4355.3;3045.06;1310.24;Sea;20;Credit Card;Export;Intel Vietnam;WH-DN-03;5;3.2
Vietnam;GDP;NY.GDP.MKTP.CD;413.445.230.668.578;2022;11;4;27/11/2022;Hanoi;North;Smart TV;Sony;Male;18;Standard;535.74;19;10179.06;7586.72;2592.34;Road;7;Cash;Import;Foxconn Vietnam;WH-HN-02;5;4.8
Vietnam;GDP;NY.GDP.MKTP.CD;413.445.230.668.578;2022;6;2;24/06/2022;Hanoi;North;Audio Devices;Sony;Female;53;Budget;180.18;7;1261.26;1067.66;193.6;Sea;13;Credit Card;Export;FPT Retail;WH-DN-03;8;3.8
Vietnam;GDP;NY.GDP.MKTP.CD;413.445.230.668.578;2022;5;2;24/05/2022;Hai Phong;North;Laptop;Lenovo;Female;27;Premium;667.0;12;8004.0;5919.77;2084.23;Sea;20;Bank Transfer;Import;Intel Vietnam;WH-HCM-01;10;4.8
Vietnam;GDP;NY.GDP.MKTP.CD;413.445.230.668.578;2022;7;3;01/07/2022;Da Nang;Central;Home Appliances;Samsung;Female;45;Standard;411.31;3;1233.93;818.61;415.32;Air;2;Bank Transfer;Export;FPT Retail;WH-HN-02;10;4.1
Vietnam;GDP;NY.GDP.MKTP.CD;413.445.230.668.578;2022;10;4;18/10/2022;Bien Hoa;South;Smartphone;Apple;Female;56;Enterprise;1189.17;8;9513.36;5987.53;3525.83;Road;3;Credit Card;Import;Digiworld;WH-HN-02;10;4.5
Vietnam;GDP;NY.GDP.MKTP.CD;413.445.230.668.578;2022;1;1;10/01/2022;Ho Chi Minh City;South;Laptop;HP;Female;55;Budget;1666.74;17;28334.58;17587.92;10746.66;Air;1;Credit Card;Import;LG Vietnam;WH-HN-02;8;3.9
Vietnam;GDP;NY.GDP.MKTP.CD;413.445.230.668.578;2022;12;4;24/12/2022;Da Nang;Central;Audio Devices;Apple;Male;38;Premium;491.16;13;6385.08;5379.24;1005.84;Road;7;E-Wallet;Export;FPT Retail;WH-HN-02;8;3.1
Vietnam;GDP;NY.GDP.MKTP.CD;413.445.230.668.578;2022;4;2;28/04/2022;Ho Chi Minh City;South;Laptop;Lenovo;Female;37;Budget;2349.29;5;11746.45;7790.8;3955.65;Road;5;E-Wallet;Export;Samsung Vietnam;WH-HN-02;8;3.2
Vietnam;GDP;NY.GDP.MKTP.CD;413.445.230.668.578;2022;4;2;21/04/2022;Ho Chi Minh City;South;Smartphone;Oppo;Male;18;Budget;499.46;17;8490.82;6571.36;1919.46;Air;3;Bank Transfer;Import;Viettel Store;WH-DN-03;5;4.3
Vietnam;GDP;NY.GDP.MKTP.CD;413.445.230.668.578;2022;4;2;11/04/2022;Ho Chi Minh City;South;Audio Devices;Sony;Male;29;Premium;371.37;16;5941.92;4660.1;1281.82;Road;5;E-Wallet;Export;Viettel Store;WH-HCM-01;5;4.9
Vietnam;GDP;NY.GDP.MKTP.CD;413.445.230.668.578;2022;1;1;05/01/2022;Hanoi;North;Audio Devices;Sony;Male;25;Standard;81.83;6;490.98;350.52;140.46;Road;6;E-Wallet;Export;Samsung Vietnam;WH-HCM-01;8;3.3
Vietnam;GDP;NY.GDP.MKTP.CD;413.445.230.668.578;2022;2;1;16/02/2022;Ho Chi Minh City;South;Audio Devices;Apple;Female;45;Premium;405.77;8;3246.16;2234.46;1011.7;Air;2;Bank Transfer;Import;LG Vietnam;WH-DN-03;5;3.2
Vietnam;GDP;NY.GDP.MKTP.CD;413.445.230.668.578;2022;1;1;02/01/2022;Bien Hoa;South;Smartphone;Xiaomi;Female;37;Premium;1469.27;17;24977.59;16733.51;8244.08;Road;7;Bank Transfer;Import;LG Vietnam;WH-DN-03;8;4.2
Vietnam;GDP;NY.GDP.MKTP.CD;413.445.230.668.578;2022;5;2;20/05/2022;Ho Chi Minh City;South;Smartphone;Apple;Female;23;Standard;625.15;13;8126.95;6726.93;1400.02;Air;1;E-Wallet;Export;LG Vietnam;WH-DN-03;10;4.9
Vietnam;GDP;NY.GDP.MKTP.CD;413.445.230.668.578;2022;11;4;25/11/2022;Hanoi;North;Audio Devices;Sony;Male;47;Standard;449.15;15;6737.25;5590.53;1146.72;Sea;19;E-Wallet;Export;Foxconn Vietnam;WH-HN-02;8;4.7
