Location_ID,Province,District,Address
82,Tây Ninh,Xã Châu Thành,442 Cách Mạng Tháng Tám
83,An Giang,Phường Châu Đốc,400 Trần Hưng Đạo
84,TP. Hồ Chí Minh,Phường Tân Bình,190 Võ Văn Kiệt
85,Đồng Nai,Xã Nhơn Trạch,294 Hai Bà Trưng
86,Đồng Nai,Phường Biên Hòa,537 Hai Bà Trưng
87,Cần Thơ,Phường Bình Thủy,491 Phạm Văn Đồng
88,Đồng Tháp,Phường Sa Đéc,337 Hai Bà Trưng
89,An Giang,Phường Long Xuyên,36 Nguyễn Huệ
90,TP. Hồ Chí Minh,Phường Tân Định,488 Nguyễn Huệ
91,Đồng Nai,Phường Long Khánh,110 Lý Thường Kiệt
92,Cà Mau,Xã Trần Văn Thời,522 Nguyễn Huệ
93,Tây Ninh,Xã Tân Biên,281 Nam Kỳ Khởi Nghĩa
94,Đồng Nai,Xã Long Thành,571 Cách Mạng Tháng Tám
95,An Giang,Xã Tịnh Biên,38 Nguyễn Trãi
96,Đồng Nai,Xã Nhơn Trạch,204 Hai Bà Trưng
97,TP. Hồ Chí Minh,Phường Chợ Lớn,485 Trần Hưng Đạo
98,TP. Hồ Chí Minh,Phường An Khánh,116 Cách Mạng Tháng Tám
99,Cà Mau,Xã Trần Văn Thời,172 Võ Văn Kiệt
100,Đồng Nai,Xã Nhơn Trạch,596 Cách Mạng Tháng Tám
101,Đồng Nai,Phường Long Khánh,409 Nam Kỳ Khởi Nghĩa
102,Vĩnh Long,Xã Mang Thít,477 Cách Mạng Tháng Tám
103,Cà Mau,Xã Đầm Dơi,454 Trần Hưng Đạo
104,TP. Hồ Chí Minh,Phường Bến Thành,17 Võ Văn Kiệt
105,An Giang,Xã Tri Tôn,267 Điện Biên Phủ
106,Đồng Nai,Phường Long Khánh,214 Phạm Văn Đồng
107,Cà Mau,Xã Trần Văn Thời,292 Quang Trung
108,Đồng Nai,Phường Trấn Biên,61 3 Tháng 2
109,Đồng Nai,Xã Long Thành,86 Nam Kỳ Khởi Nghĩa
110,Cần Thơ,Phường Bình Thủy,69 Cách Mạng Tháng Tám
111,TP. Hồ Chí Minh,Phường Tân Bình,204 Quang Trung
112,Đồng Nai,Phường Trấn Biên,499 Nguyễn Văn Cừ
113,Đồng Tháp,Xã Tháp Mười,35 Cách Mạng Tháng Tám
114,Vĩnh Long,Xã Long Hồ,44 Hai Bà Trưng
115,An Giang,Phường Châu Đốc,236 Nguyễn Huệ
116,Vĩnh Long,Xã Mang Thít,494 Lê Lợi
117,Đồng Tháp,Xã Lấp Vò,318 Pasteur
118,Vĩnh Long,Xã Trà Ôn,27 3 Tháng 2
119,Cần Thơ,Phường Cái Răng,141 Điện Biên Phủ
120,Cần Thơ,Phường Thốt Nốt,389 Lý Thường Kiệt
121,Đồng Tháp,Xã Lai Vung,81 Trần Hưng Đạo
122,Đồng Nai,Phường Biên Hòa,492 Trần Hưng Đạo
123,TP. Hồ Chí Minh,Phường Bình Thạnh,387 Pasteur
124,Vĩnh Long,Xã Tam Bình,95 Nguyễn Trãi
125,TP. Hồ Chí Minh,Phường Sài Gòn,318 Trần Hưng Đạo
126,TP. Hồ Chí Minh,Phường Tân Bình,588 Nguyễn Huệ
127,TP. Hồ Chí Minh,Phường Bình Thạnh,589 Trần Hưng Đạo
128,Đồng Nai,Phường Trấn Biên,596 Lê Lợi
129,Tây Ninh,Xã Châu Thành,159 3 Tháng 2
130,TP. Hồ Chí Minh,Phường Bến Thành,214 Nguyễn Trãi
131,Đồng Nai,Xã Định Quán,189 Lê Lợi
132,Đồng Nai,Xã Định Quán,403 Phạm Văn Đồng
133,Đồng Tháp,Xã Tháp Mười,11 Hai Bà Trưng
134,Đồng Nai,Xã Định Quán,188 Lê Lợi
135,An Giang,Phường Long Xuyên,239 Lê Lợi
136,Đồng Nai,Xã Long Thành,564 Nam Kỳ Khởi Nghĩa
137,TP. Hồ Chí Minh,Phường Thủ Đức,509 Nguyễn Huệ
138,Cần Thơ,Phường Bình Thủy,182 Phạm Văn Đồng
139,Đồng Nai,Xã Nhơn Trạch,312 Võ Văn Kiệt
140,TP. Hồ Chí Minh,Phường Chợ Lớn,573 Điện Biên Phủ
141,Cà Mau,Xã Trần Văn Thời,182 Lý Thường Kiệt
142,TP. Hồ Chí Minh,Phường Chợ Lớn,189 3 Tháng 2
143,TP. Hồ Chí Minh,Phường Tân Định,125 Nam Kỳ Khởi Nghĩa
144,TP. Hồ Chí Minh,Phường Chợ Lớn,88 Nam Kỳ Khởi Nghĩa
145,Vĩnh Long,Xã Trà Ôn,21 Pasteur
146,Tây Ninh,Xã Tân Biên,434 Pasteur
147,Vĩnh Long,Phường Vĩnh Long,36 Lý Thường Kiệt
148,Cà Mau,Xã Đầm Dơi,503 Lý Thường Kiệt
149,Vĩnh Long,Xã Bình Minh,195 3 Tháng 2
150,Vĩnh Long,Xã Trà Ôn,434 Cách Mạng Tháng Tám
151,Đồng Nai,Xã Định Quán,53 Điện Biên Phủ
152,Cà Mau,Phường Cà Mau,580 Lý Thường Kiệt
153,TP. Hồ Chí Minh,Phường Tân Bình,107 Hai Bà Trưng
154,TP. Hồ Chí Minh,Phường Tân Bình,541 Nguyễn Huệ
155,Cà Mau,Xã Trần Văn Thời,50 Hai Bà Trưng
156,Đồng Nai,Xã Định Quán,98 Lê Lợi
157,Đồng Tháp,Xã Lấp Vò,294 Lý Thường Kiệt
158,Đồng Tháp,Xã Tháp Mười,470 Hai Bà Trưng
159,Đồng Tháp,Xã Tháp Mười,280 Phạm Văn Đồng
160,Tây Ninh,Xã Châu Thành,99 Quang Trung
161,TP. Hồ Chí Minh,Phường Chợ Lớn,508 Quang Trung
162,Tây Ninh,Phường Tây Ninh,313 Pasteur
163,TP. Hồ Chí Minh,Phường Bình Thạnh,476 3 Tháng 2
164,TP. Hồ Chí Minh,Phường Tân Bình,413 Hai Bà Trưng
165,TP. Hồ Chí Minh,Phường Tân Bình,599 Phạm Văn Đồng
166,Đồng Nai,Phường Long Khánh,322 Lý Thường Kiệt
167,Tây Ninh,Xã Tân Biên,544 Quang Trung
168,TP. Hồ Chí Minh,Phường Thủ Đức,328 Lê Lợi
169,An Giang,Phường Châu Đốc,397 Lê Lợi
170,TP. Hồ Chí Minh,Phường Bến Thành,519 Cách Mạng Tháng Tám
171,TP. Hồ Chí Minh,Phường Bình Thạnh,299 Nguyễn Văn Cừ
172,Đồng Nai,Xã Long Thành,440 Nam Kỳ Khởi Nghĩa
173,Tây Ninh,Xã Gò Dầu,457 Võ Văn Kiệt
174,An Giang,Phường Long Xuyên,99 Điện Biên Phủ
175,Đồng Nai,Phường Long Khánh,225 Cách Mạng Tháng Tám
176,Đồng Nai,Xã Long Thành,67 Nguyễn Văn Cừ
177,Đồng Tháp,Phường Sa Đéc,448 Pasteur
178,Cà Mau,Phường Cà Mau,449 Nguyễn Văn Cừ
179,Cần Thơ,Phường Thốt Nốt,328 Nguyễn Văn Cừ
180,Cần Thơ,Phường Cái Răng,175 Điện Biên Phủ
181,Cần Thơ,Xã Phong Điền,480 Cách Mạng Tháng Tám
182,TP. Hồ Chí Minh,Phường Bến Thành,511 Phạm Văn Đồng
183,Đồng Nai,Phường Long Khánh,152 Cách Mạng Tháng Tám
184,Đồng Tháp,Phường Cao Lãnh,403 Nguyễn Trãi
185,TP. Hồ Chí Minh,Phường Tân Bình,414 Phạm Văn Đồng
186,Đồng Tháp,Xã Lai Vung,382 Nam Kỳ Khởi Nghĩa
187,Vĩnh Long,Phường Vĩnh Long,208 Quang Trung
188,TP. Hồ Chí Minh,Phường Thủ Đức,341 Nguyễn Trãi
189,TP. Hồ Chí Minh,Phường Bến Thành,7 Nguyễn Trãi
190,Cần Thơ,Phường Thốt Nốt,529 Nguyễn Trãi
191,An Giang,Xã Chợ Mới,474 Quang Trung
192,Vĩnh Long,Xã Tam Bình,314 Nam Kỳ Khởi Nghĩa
193,Cà Mau,Phường Cà Mau,366 Nguyễn Văn Cừ
194,TP. Hồ Chí Minh,Phường Bình Thạnh,240 Phạm Văn Đồng
195,Đồng Tháp,Phường Sa Đéc,567 Điện Biên Phủ
196,Đồng Nai,Phường Trấn Biên,252 Phạm Văn Đồng
197,Cần Thơ,Phường Cái Răng,463 Phạm Văn Đồng
198,Vĩnh Long,Xã Bình Minh,593 Quang Trung
199,TP. Hồ Chí Minh,Phường Tân Định,240 Pasteur
200,TP. Hồ Chí Minh,Phường Tân Bình,259 Nguyễn Trãi
201,Đồng Nai,Xã Nhơn Trạch,556 Nguyễn Trãi
202,Đồng Tháp,Xã Tháp Mười,510 Nguyễn Văn Cừ
203,Đồng Nai,Phường Trấn Biên,501 Nam Kỳ Khởi Nghĩa
204,Đồng Nai,Xã Nhơn Trạch,124 Võ Văn Kiệt
205,An Giang,Xã Tịnh Biên,115 Nguyễn Huệ
206,An Giang,Xã Chợ Mới,445 Phạm Văn Đồng
207,Đồng Nai,Xã Nhơn Trạch,594 Điện Biên Phủ
208,Tây Ninh,Xã Dương Minh Châu,368 Nam Kỳ Khởi Nghĩa
209,Đồng Nai,Xã Định Quán,449 Phạm Văn Đồng
210,Cần Thơ,Xã Phong Điền,558 Nam Kỳ Khởi Nghĩa
211,TP. Hồ Chí Minh,Phường Bến Thành,69 Trần Hưng Đạo
212,TP. Hồ Chí Minh,Phường Sài Gòn,438 Nguyễn Văn Cừ
213,TP. Hồ Chí Minh,Phường Bình Thạnh,451 Hai Bà Trưng
214,Đồng Nai,Xã Định Quán,471 Nguyễn Huệ
215,TP. Hồ Chí Minh,Phường Tân Định,132 Nguyễn Huệ
216,Vĩnh Long,Xã Bình Minh,462 Hai Bà Trưng
217,TP. Hồ Chí Minh,Phường Bình Thạnh,311 Cách Mạng Tháng Tám
218,Đồng Tháp,Phường Sa Đéc,336 Lê Lợi
219,Vĩnh Long,Xã Tam Bình,300 Lê Lợi
220,TP. Hồ Chí Minh,Phường Bình Thạnh,503 Lý Thường Kiệt
221,Đồng Nai,Xã Định Quán,154 Pasteur
222,Vĩnh Long,Xã Trà Ôn,142 Nam Kỳ Khởi Nghĩa
223,Tây Ninh,Xã Tân Biên,131 Quang Trung
224,An Giang,Phường Châu Đốc,167 Lý Thường Kiệt
225,Tây Ninh,Phường Tây Ninh,404 Phạm Văn Đồng
226,Vĩnh Long,Phường Vĩnh Long,383 Phạm Văn Đồng
227,TP. Hồ Chí Minh,Phường Thủ Đức,480 Nguyễn Huệ
228,Vĩnh Long,Xã Mang Thít,94 Pasteur
229,TP. Hồ Chí Minh,Phường Tân Bình,473 Pasteur
230,Đồng Tháp,Xã Lấp Vò,43 Điện Biên Phủ
231,Vĩnh Long,Phường Vĩnh Long,14 Hai Bà Trưng
232,Đồng Tháp,Xã Tháp Mười,109 Nam Kỳ Khởi Nghĩa
233,Cần Thơ,Phường Ninh Kiều,67 Pasteur
234,Cà Mau,Xã Trần Văn Thời,491 Lê Lợi
235,Tây Ninh,Xã Dương Minh Châu,89 Pasteur
236,Đồng Nai,Xã Định Quán,164 Quang Trung
237,Đồng Nai,Xã Định Quán,207 Quang Trung
238,An Giang,Xã Phú Tân,295 3 Tháng 2
239,TP. Hồ Chí Minh,Phường Bình Thạnh,19 Trần Hưng Đạo
240,TP. Hồ Chí Minh,Phường Tân Định,226 Lê Lợi
241,Cần Thơ,Xã Phong Điền,29 Trần Hưng Đạo
242,TP. Hồ Chí Minh,Phường Thủ Đức,148 Điện Biên Phủ
243,Vĩnh Long,Xã Trà Ôn,529 Nguyễn Văn Cừ
244,Cần Thơ,Phường Cái Răng,290 Lý Thường Kiệt
245,TP. Hồ Chí Minh,Phường An Khánh,46 Nam Kỳ Khởi Nghĩa
246,Cà Mau,Xã Năm Căn,523 Nguyễn Trãi
247,Tây Ninh,Phường Tây Ninh,301 Hai Bà Trưng
248,An Giang,Xã Chợ Mới,478 Nguyễn Huệ
249,Đồng Nai,Xã Nhơn Trạch,186 Quang Trung
250,TP. Hồ Chí Minh,Phường Tân Bình,122 Pasteur
251,TP. Hồ Chí Minh,Phường Bến Thành,168 Quang Trung
252,Tây Ninh,Xã Dương Minh Châu,22 Nguyễn Văn Cừ
253,Đồng Nai,Xã Định Quán,132 Nam Kỳ Khởi Nghĩa
254,Đồng Nai,Phường Trấn Biên,573 Điện Biên Phủ
255,TP. Hồ Chí Minh,Phường Chợ Lớn,406 3 Tháng 2
256,TP. Hồ Chí Minh,Phường Tân Định,18 Nguyễn Trãi
257,Cần Thơ,Phường Ô Môn,144 Quang Trung
258,Vĩnh Long,Xã Tam Bình,497 Lý Thường Kiệt
259,Đồng Nai,Phường Long Khánh,181 Nguyễn Trãi
260,Đồng Nai,Phường Biên Hòa,220 Pasteur
261,Đồng Nai,Phường Long Khánh,92 Quang Trung
262,Đồng Tháp,Xã Lai Vung,354 Nguyễn Văn Cừ
263,An Giang,Xã Tịnh Biên,418 3 Tháng 2
264,TP. Hồ Chí Minh,Phường Bình Thạnh,314 Cách Mạng Tháng Tám
265,Vĩnh Long,Xã Mang Thít,576 Trần Hưng Đạo
266,Đồng Nai,Xã Long Thành,411 Quang Trung
267,Tây Ninh,Xã Tân Biên,353 Điện Biên Phủ
268,Tây Ninh,Xã Dương Minh Châu,530 Phạm Văn Đồng
269,Vĩnh Long,Phường Vĩnh Long,466 Nguyễn Trãi
270,TP. Hồ Chí Minh,Phường Chợ Lớn,579 Nam Kỳ Khởi Nghĩa
271,Tây Ninh,Phường Trảng Bàng,384 Nguyễn Huệ
272,TP. Hồ Chí Minh,Phường Chợ Lớn,327 Pasteur
273,An Giang,Phường Long Xuyên,226 Võ Văn Kiệt
274,TP. Hồ Chí Minh,Phường Tân Bình,181 Hai Bà Trưng
275,TP. Hồ Chí Minh,Phường An Khánh,534 Nguyễn Văn Cừ
276,Đồng Tháp,Xã Lai Vung,334 Lê Lợi
277,An Giang,Phường Châu Đốc,511 Nguyễn Trãi
278,An Giang,Phường Long Xuyên,125 3 Tháng 2
279,Cà Mau,Xã Đầm Dơi,89 Cách Mạng Tháng Tám
280,TP. Hồ Chí Minh,Phường Chợ Lớn,420 Võ Văn Kiệt
281,Tây Ninh,Phường Tây Ninh,216 3 Tháng 2
282,An Giang,Phường Châu Đốc,553 Điện Biên Phủ
283,Đồng Nai,Phường Biên Hòa,279 Nguyễn Huệ
284,TP. Hồ Chí Minh,Phường Chợ Lớn,544 Lý Thường Kiệt
285,Tây Ninh,Phường Tây Ninh,356 Trần Hưng Đạo
286,TP. Hồ Chí Minh,Phường Chợ Lớn,156 Trần Hưng Đạo
287,TP. Hồ Chí Minh,Phường Tân Bình,574 Nguyễn Huệ
288,An Giang,Xã Tri Tôn,339 Nguyễn Huệ
289,TP. Hồ Chí Minh,Phường Thủ Đức,311 Nguyễn Huệ
290,Vĩnh Long,Xã Mang Thít,227 Nguyễn Trãi
291,TP. Hồ Chí Minh,Phường Tân Định,212 Điện Biên Phủ
292,Đồng Nai,Xã Long Thành,488 Lê Lợi
293,Cần Thơ,Phường Ninh Kiều,300 Nam Kỳ Khởi Nghĩa
294,Đồng Tháp,Xã Lấp Vò,434 3 Tháng 2
295,Vĩnh Long,Xã Trà Ôn,475 Pasteur
296,TP. Hồ Chí Minh,Phường Tân Định,177 Nguyễn Trãi
297,TP. Hồ Chí Minh,Phường Bến Thành,444 Nguyễn Trãi
298,TP. Hồ Chí Minh,Phường Tân Định,408 Hai Bà Trưng
299,TP. Hồ Chí Minh,Phường Chợ Lớn,37 Nam Kỳ Khởi Nghĩa
300,Vĩnh Long,Xã Mang Thít,281 Trần Hưng Đạo
301,Đồng Nai,Xã Nhơn Trạch,139 Lý Thường Kiệt
302,Cà Mau,Phường Cà Mau,535 3 Tháng 2
303,TP. Hồ Chí Minh,Phường Sài Gòn,423 Pasteur
304,Vĩnh Long,Xã Trà Ôn,562 Phạm Văn Đồng
305,An Giang,Phường Long Xuyên,296 Trần Hưng Đạo
306,TP. Hồ Chí Minh,Phường Thủ Đức,556 Lê Lợi
307,Đồng Tháp,Xã Lấp Vò,540 Quang Trung
308,TP. Hồ Chí Minh,Phường Bến Thành,559 Điện Biên Phủ
309,TP. Hồ Chí Minh,Phường Bình Thạnh,597 Quang Trung
310,TP. Hồ Chí Minh,Phường Sài Gòn,181 Lê Lợi
311,TP. Hồ Chí Minh,Phường Chợ Lớn,402 3 Tháng 2
312,TP. Hồ Chí Minh,Phường Thủ Đức,238 Trần Hưng Đạo
313,TP. Hồ Chí Minh,Phường Sài Gòn,280 Nam Kỳ Khởi Nghĩa
314,TP. Hồ Chí Minh,Phường Chợ Lớn,448 Điện Biên Phủ
315,An Giang,Xã Tịnh Biên,411 Quang Trung
316,An Giang,Xã Chợ Mới,401 Quang Trung
317,Đồng Nai,Xã Nhơn Trạch,461 Lê Lợi
318,Đồng Nai,Xã Long Thành,538 Điện Biên Phủ
319,An Giang,Xã Chợ Mới,201 Cách Mạng Tháng Tám
320,Vĩnh Long,Xã Mang Thít,101 Lê Lợi
321,Tây Ninh,Phường Tây Ninh,213 Trần Hưng Đạo
322,Đồng Tháp,Phường Hồng Ngự,523 Lê Lợi
323,TP. Hồ Chí Minh,Phường Chợ Lớn,559 Nguyễn Trãi
324,TP. Hồ Chí Minh,Phường Bến Thành,2 Quang Trung
325,TP. Hồ Chí Minh,Phường Thủ Đức,257 Pasteur
326,TP. Hồ Chí Minh,Phường Sài Gòn,309 Hai Bà Trưng
327,TP. Hồ Chí Minh,Phường Thủ Đức,440 Pasteur
328,TP. Hồ Chí Minh,Phường Sài Gòn,95 Điện Biên Phủ
329,Cà Mau,Phường Cà Mau,182 Quang Trung
330,Vĩnh Long,Xã Trà Ôn,110 Cách Mạng Tháng Tám
331,An Giang,Xã Chợ Mới,555 Điện Biên Phủ
332,Cần Thơ,Phường Thốt Nốt,560 3 Tháng 2
333,Cần Thơ,Phường Cái Răng,62 Trần Hưng Đạo
334,Đồng Nai,Phường Trấn Biên,377 Phạm Văn Đồng
335,TP. Hồ Chí Minh,Phường Thủ Đức,124 Nam Kỳ Khởi Nghĩa
336,Đồng Tháp,Phường Cao Lãnh,316 Pasteur
337,Cần Thơ,Xã Phong Điền,216 Pasteur
338,TP. Hồ Chí Minh,Phường Bình Thạnh,308 Nguyễn Trãi
339,Đồng Tháp,Xã Lai Vung,332 Nam Kỳ Khởi Nghĩa
340,TP. Hồ Chí Minh,Phường Thủ Đức,528 Trần Hưng Đạo
341,TP. Hồ Chí Minh,Phường An Khánh,306 Cách Mạng Tháng Tám
342,Đồng Nai,Xã Long Thành,388 Lý Thường Kiệt
343,Đồng Nai,Xã Nhơn Trạch,437 Cách Mạng Tháng Tám
344,Cà Mau,Xã Đầm Dơi,392 Lý Thường Kiệt
345,TP. Hồ Chí Minh,Phường Thủ Đức,359 Quang Trung
346,Đồng Nai,Xã Nhơn Trạch,101 Quang Trung
347,Đồng Nai,Phường Trấn Biên,419 Lý Thường Kiệt
348,Cần Thơ,Phường Cái Răng,55 Pasteur
349,An Giang,Phường Châu Đốc,105 Nguyễn Văn Cừ
350,TP. Hồ Chí Minh,Phường An Khánh,570 Lê Lợi
351,Tây Ninh,Xã Dương Minh Châu,296 Nam Kỳ Khởi Nghĩa
352,Tây Ninh,Phường Trảng Bàng,232 Lý Thường Kiệt
353,Vĩnh Long,Xã Bình Minh,37 Nam Kỳ Khởi Nghĩa
354,Đồng Tháp,Phường Sa Đéc,32 Quang Trung
355,Vĩnh Long,Xã Trà Ôn,482 Lê Lợi
356,TP. Hồ Chí Minh,Phường Bình Thạnh,377 Điện Biên Phủ
357,TP. Hồ Chí Minh,Phường Tân Bình,254 Trần Hưng Đạo
358,TP. Hồ Chí Minh,Phường Tân Bình,232 Quang Trung
359,Đồng Tháp,Phường Sa Đéc,389 Lý Thường Kiệt
360,TP. Hồ Chí Minh,Phường Bình Thạnh,308 Nam Kỳ Khởi Nghĩa
361,Đồng Nai,Phường Long Khánh,216 Nguyễn Huệ
362,TP. Hồ Chí Minh,Phường Thủ Đức,591 Nguyễn Trãi
363,Cần Thơ,Phường Thốt Nốt,97 Nguyễn Văn Cừ
364,TP. Hồ Chí Minh,Phường Bình Thạnh,139 Quang Trung
365,Vĩnh Long,Xã Trà Ôn,168 Điện Biên Phủ
366,An Giang,Xã Tịnh Biên,205 Pasteur
367,Đồng Nai,Phường Trấn Biên,544 Hai Bà Trưng
368,TP. Hồ Chí Minh,Phường An Khánh,60 Nguyễn Huệ
369,TP. Hồ Chí Minh,Phường Thủ Đức,408 Trần Hưng Đạo
370,Cần Thơ,Phường Thốt Nốt,557 Nam Kỳ Khởi Nghĩa
371,An Giang,Xã Phú Tân,366 Nguyễn Trãi
372,An Giang,Xã Tri Tôn,389 Điện Biên Phủ
373,Cà Mau,Xã Đầm Dơi,280 Võ Văn Kiệt
374,Tây Ninh,Xã Châu Thành,344 Lê Lợi
375,Đồng Tháp,Xã Lấp Vò,65 Cách Mạng Tháng Tám
376,Đồng Nai,Xã Nhơn Trạch,366 Quang Trung
377,Cần Thơ,Phường Ô Môn,169 3 Tháng 2
378,Vĩnh Long,Xã Trà Ôn,382 Pasteur
379,Cà Mau,Xã Năm Căn,520 Nguyễn Trãi
380,Vĩnh Long,Xã Long Hồ,68 Pasteur
381,Đồng Nai,Phường Biên Hòa,308 Hai Bà Trưng
382,Đồng Nai,Phường Trấn Biên,112 Nguyễn Huệ
383,TP. Hồ Chí Minh,Phường An Khánh,410 Lê Lợi
384,Cà Mau,Xã Ngọc Hiển,265 Lý Thường Kiệt
385,Vĩnh Long,Xã Mang Thít,104 Nguyễn Huệ
386,Đồng Nai,Xã Định Quán,157 Điện Biên Phủ
387,Cần Thơ,Phường Cái Răng,253 Cách Mạng Tháng Tám
388,TP. Hồ Chí Minh,Phường Sài Gòn,99 Cách Mạng Tháng Tám
389,Vĩnh Long,Xã Trà Ôn,411 Lý Thường Kiệt
390,TP. Hồ Chí Minh,Phường Bình Thạnh,232 Quang Trung
391,Đồng Nai,Xã Nhơn Trạch,515 Phạm Văn Đồng
