Order_ID,Customer_ID,Product_ID,Quantity,Unit_Price,Discount_Rate,VAT,Shipping_Fee,Revenue
DH2020003157,KH00006,SP001,5,4590000,0,2180000,45000,24027000
DH2020007129,KH00002,SP003,1,19990000,0,1899000,25000,20914000
DH2020007563,KH00004,SP001,2,4590000,0,826000,30000,9118000
DH2020002313,KH00061,SP007,2,23990000,0,4558000,30000,50169000
DH2020002589,KH00481,SP015,2,7990000,0,1598000,40000,17618000
DH2020004759,KH00001,SP014,5,1190000,0,506000,30000,5594000
DH2020007206,KH00520,SP024,2,5490000,0,966000,28000,10656000
DH2020002314,KH00163,SP006,1,7990000,0,775000,18000,8543000
DH2020005028,KH00002,SP001,1,4590000,0,427000,22000,4718000
DH2020009618,KH00001,SP002,3,18990000,0,5697000,25000,62692000
DH2020000932,KH00002,SP024,8,5490000,0,3733000,30000,41095000
DH2020006978,KH00003,SP024,8,5490000,0,3733000,25000,41090000
DH2020009531,KH00037,SP019,2,690000,0,124000,30000,1396000
DH2020005492,KH02106,SP015,1,7990000,0,743000,25000,8199000
DH2020002316,KH00008,SP014,1,1190000,0,101000,25000,1138000
DH2020003514,KH00064,SP001,1,4590000,0,459000,28000,5077000
DH2020002032,KH01080,SP019,1,690000,0,69000,30000,789000
DH2020003279,KH00001,SP017,6,3290000,0,1737000,30000,19138000
DH2020003885,KH00009,SP020,1,1190000,0,101000,40000,1153000
DH2020005100,KH00046,SP024,1,5490000,0,467000,35000,5168000
DH2020007040,KH00020,SP013,1,990000,0,99000,25000,1114000
DH2020007305,KH00002,SP015,3,7990000,0,2157000,28000,23758000
DH2020008500,KH00009,SP001,8,4590000,0,2938000,28000,32342000
DH2020009167,KH00001,SP008,3,13990000,0,3903000,45000,42980000
DH2020009190,KH00309,SP010,1,12990000,0,1260000,18000,13878000
DH2020001312,KH01074,SP001,4,4590000,0,1561000,30000,17197000
DH2020003288,KH00003,SP011,1,3990000,0,399000,40000,4429000
DH2020006693,KH00005,SP022,1,190000,0,19000,22000,231000
DH2020001898,KH00075,SP011,4,3990000,0,1548000,18000,17047000
DH2020002631,KH00001,SP018,3,390000,0,103000,25000,1158000
DH2020002677,KH00337,SP014,3,1190000,0,303000,35000,3372000
DH2020004617,KH00007,SP001,1,4590000,0,413000,28000,4572000
DH2020006508,KH00003,SP011,3,3990000,0,1137000,30000,12539000
DH2020007287,KH00001,SP010,4,12990000,0,4832000,22000,53177000
DH2020007445,KH00001,SP008,1,13990000,0,1329000,40000,14659000
DH2020007595,KH00001,SP017,1,3290000,0,290000,25000,3210000
DH2020009485,KH00006,SP009,1,15990000,0,1439000,22000,15852000
DH2020001467,KH00261,SP003,3,19990000,0,5997000,25000,65992000
DH2020006716,KH00003,SP019,1,690000,0,61000,18000,686000
DH2020009594,KH00001,SP024,2,5490000,0,988000,40000,10910000
DH2020000686,KH00004,SP006,3,7990000,0,2037000,25000,22436000
DH2020004967,KH00462,SP003,2,19990000,0,3798000,18000,41797000
DH2020005135,KH00021,SP020,4,1190000,0,428000,28000,4740000
DH2020003747,KH00001,SP021,4,350000,0,136000,35000,1529000
DH2020005234,KH00037,SP006,1,7990000,0,639000,18000,7049000
DH2020005898,KH00019,SP009,1,15990000,0,1359000,22000,14973000
DH2020007248,KH00030,SP018,2,390000,0,76000,18000,851000
DH2020008579,KH00038,SP025,8,4290000,0,3432000,45000,37797000
DH2020000597,KH00394,SP011,2,3990000,0,774000,28000,8543000
DH2020002200,KH00002,SP003,5,19990000,0,7996000,28000,87984000
DH2020004856,KH00041,SP021,8,350000,0,266000,28000,2954000
DH2020007653,KH00200,SP002,1,18990000,0,1804000,30000,19874000
DH2020008867,KH00001,SP019,3,690000,0,182000,45000,2049000
DH2020004848,KH00017,SP018,2,390000,0,69000,30000,785000
DH2020006451,KH00012,SP002,1,18990000,0,1804000,25000,19869000
DH2020009021,KH00002,SP008,1,13990000,0,1399000,45000,15434000
DH2020002327,KH00001,SP022,2,190000,0,38000,18000,436000
DH2020002458,KH00180,SP008,2,13990000,0,2798000,25000,30803000
DH2020006971,KH00015,SP016,1,11990000,0,959000,40000,10591000
DH2020009007,KH00001,SP020,2,1190000,0,231000,45000,2585000
DH2020003442,KH00005,SP016,2,11990000,0,2326000,35000,25622000
DH2020003626,KH00063,SP001,1,4590000,0,404000,18000,4461000
DH2020004500,KH00002,SP022,1,190000,0,18000,40000,242000
DH2020009100,KH00053,SP023,2,5990000,0,1198000,30000,13208000
DH2020000569,KH00014,SP011,1,3990000,0,319000,18000,3529000
DH2020003308,KH00003,SP021,1,350000,0,31000,30000,369000
DH2020006207,KH00040,SP026,1,990000,0,94000,28000,1062000
DH2020006578,KH00548,SP008,2,13990000,0,2714000,18000,29873000
DH2020007096,KH00001,SP003,2,19990000,0,3878000,30000,42689000
DH2020008105,KH00268,SP019,6,690000,0,393000,40000,4366000
DH2020009404,KH00402,SP005,3,4990000,0,1497000,25000,16492000
DH2020009873,KH00049,SP005,3,4990000,0,1452000,45000,16018000
DH2020000267,KH00001,SP002,1,18990000,0,1614000,30000,17786000
DH2020003761,KH00070,SP011,1,3990000,0,399000,25000,4414000
DH2020005241,KH00001,SP013,5,990000,0,446000,35000,4936000
DH2020005595,KH00001,SP006,2,7990000,0,1518000,35000,16734000
DH2020007247,KH00010,SP003,4,19990000,0,7596000,30000,83588000
DH2020009880,KH00076,SP021,10,350000,0,280000,45000,3125000
DH2020000010,KH00005,SP006,2,7990000,0,1406000,35000,15503000
DH2020000788,KH00013,SP025,2,4290000,0,755000,45000,8350000
DH2020001073,KH00071,SP005,1,4990000,0,484000,28000,5352000
DH2020004594,KH00394,SP010,4,12990000,0,5196000,30000,57186000
DH2020006712,KH00001,SP021,1,350000,0,30000,28000,356000
DH2020000811,KH00001,SP017,1,3290000,0,319000,18000,3528000
DH2020001105,KH00004,SP009,2,15990000,0,2558000,25000,28167000
DH2020005873,KH00002,SP012,2,1590000,0,280000,25000,3103000
DH2020007031,KH00004,SP009,1,15990000,0,1439000,18000,15848000
DH2020000282,KH00026,SP025,4,4290000,0,1510000,45000,16656000
DH2020000783,KH00004,SP011,1,3990000,0,319000,30000,3541000
DH2020003237,KH00001,SP005,5,4990000,0,2495000,28000,27473000
DH2020004476,KH00010,SP019,4,690000,0,262000,18000,2902000
DH2020005729,KH00002,SP010,5,12990000,0,6495000,45000,71490000
DH2020006013,KH00704,SP001,1,4590000,0,390000,35000,4327000
DH2020008403,KH00001,SP001,1,4590000,0,367000,18000,4057000
DH2020009193,KH01636,SP020,2,1190000,0,209000,18000,2321000
DH2020009700,KH00043,SP011,4,3990000,0,1484000,30000,16357000
DH2020001470,KH00001,SP015,4,7990000,0,3196000,40000,35196000
DH2020003256,KH00002,SP010,1,12990000,0,1234000,28000,13602000
DH2020000872,KH00001,SP010,1,12990000,0,1299000,35000,14324000
DH2020001996,KH00002,SP020,2,1190000,0,231000,25000,2565000
DH2020002882,KH00063,SP003,1,19990000,0,1899000,28000,20917000
DH2020003395,KH00013,SP023,2,5990000,0,1078000,40000,11900000
DH2020006345,KH00022,SP023,3,5990000,0,1707000,28000,18807000
DH2020006438,KH00030,SP009,3,15990000,0,4797000,40000,52807000
DH2020001168,KH00006,SP002,1,18990000,0,1709000,18000,18818000
DH2020002431,KH00022,SP018,1,390000,0,36000,35000,434000
DH2020004325,KH00014,SP019,1,690000,0,64000,45000,751000
DH2020005409,KH00003,SP024,3,5490000,0,1647000,40000,18157000
DH2020000906,KH00002,SP015,4,7990000,0,3100000,18000,34119000
DH2020006264,KH00224,SP019,3,690000,0,182000,22000,2026000
DH2020009610,KH00010,SP001,1,4590000,0,367000,22000,4061000
DH2020000060,KH00001,SP022,1,190000,0,18000,35000,233000
DH2020006405,KH00016,SP013,1,990000,0,96000,30000,1086000
DH2020007211,KH00007,SP006,1,7990000,0,775000,18000,8543000
DH2020001600,KH00007,SP014,1,1190000,0,119000,18000,1327000
DH2020007364,KH00002,SP026,2,990000,0,198000,35000,2213000
DH2020000056,KH00162,SP013,3,990000,0,261000,22000,2897000
DH2020000588,KH00016,SP025,2,4290000,0,858000,28000,9466000
DH2020001626,KH00002,SP002,1,18990000,0,1709000,22000,18822000
DH2020007630,KH00002,SP010,3,12990000,0,3897000,40000,42907000
DH2020008030,KH00001,SP011,1,3990000,0,379000,40000,4209000
DH2020009583,KH00054,SP014,2,1190000,0,226000,25000,2512000
DH2020002008,KH00002,SP007,1,23990000,0,2159000,25000,23775000
DH2020004538,KH00005,SP003,3,19990000,0,5697000,35000,62704000
DH2020005314,KH00045,SP018,2,390000,0,70000,40000,812000
DH2020008660,KH00002,SP019,2,690000,0,134000,30000,1503000
DH2020009016,KH00002,SP016,1,11990000,0,1199000,28000,13217000
DH2020000235,KH00106,SP020,1,1190000,0,119000,40000,1349000
DH2020002661,KH00005,SP024,1,5490000,0,483000,45000,5359000
DH2020002768,KH00002,SP022,1,190000,0,19000,45000,254000
DH2020009243,KH00109,SP004,5,16990000,0,7900000,18000,86921000
DH2020009414,KH00001,SP026,6,990000,0,594000,40000,6574000
DH2020000715,KH01817,SP025,1,4290000,0,343000,30000,3805000
DH2020001588,KH00001,SP010,4,12990000,0,4417000,18000,48601000
DH2020006518,KH00032,SP015,3,7990000,0,2037000,25000,22436000
DH2020000202,KH00001,SP008,1,13990000,0,1399000,45000,15434000
DH2020001356,KH00004,SP015,1,7990000,0,759000,25000,8374000
DH2020002264,KH00001,SP011,1,3990000,0,359000,35000,3985000
DH2020005943,KH00003,SP021,1,350000,0,28000,30000,338000
DH2020006373,KH00001,SP008,2,13990000,0,2462000,25000,27109000
DH2020006527,KH00292,SP021,1,350000,0,31000,25000,364000
DH2020007590,KH00001,SP007,6,23990000,0,12235000,30000,134614000
DH2020005894,KH00001,SP025,2,4290000,0,815000,30000,8996000
DH2020003427,KH00001,SP020,2,1190000,0,231000,28000,2568000
DH2020005495,KH00001,SP014,1,1190000,0,95000,28000,1075000
DH2020007934,KH00001,SP013,1,990000,0,87000,22000,980000
DH2020008055,KH00002,SP020,2,1190000,0,238000,30000,2648000
DH2020008091,KH00003,SP012,1,1590000,0,143000,28000,1602000
DH2020008918,KH00003,SP011,2,3990000,0,718000,25000,7925000
DH2020000222,KH00004,SP020,6,1190000,0,714000,25000,7879000
DH2020004379,KH01452,SP019,3,690000,0,201000,30000,2239000
DH2020005358,KH00005,SP024,5,5490000,0,2470000,45000,27220000
DH2020006913,KH00002,SP007,2,23990000,0,4222000,28000,46472000
DH2020007256,KH00017,SP024,1,5490000,0,549000,35000,6074000
DH2020007524,KH00225,SP021,1,350000,0,32000,45000,392000
DH2020007983,KH00002,SP024,1,5490000,0,439000,30000,4861000
DH2020008402,KH00001,SP026,2,990000,0,198000,40000,2218000
DH2020002344,KH00002,SP018,1,390000,0,36000,35000,434000
DH2020003267,KH00674,SP013,2,990000,0,184000,25000,2050000
DH2020003631,KH00002,SP021,1,350000,0,32000,35000,392000
DH2020005672,KH00013,SP014,2,1190000,0,226000,22000,2509000
DH2020009113,KH00023,SP009,1,15990000,0,1407000,30000,15508000
DH2020009203,KH00002,SP002,1,18990000,0,1671000,18000,18400000
DH2020009931,KH00001,SP010,2,12990000,0,2468000,22000,27171000
DH2020001468,KH00034,SP015,1,7990000,0,775000,25000,8550000
DH2020003215,KH00005,SP003,1,19990000,0,1999000,22000,22011000
DH2020005067,KH00142,SP018,3,390000,0,114000,22000,1271000
DH2020008094,KH00001,SP004,1,16990000,0,1529000,25000,16845000
DH2020001767,KH00001,SP007,3,23990000,0,6477000,45000,71295000
DH2020002781,KH00272,SP009,2,15990000,0,2814000,28000,30984000
DH2020003352,KH00004,SP026,6,990000,0,564000,25000,6232000
DH2020006424,KH00002,SP009,4,15990000,0,6076000,18000,66856000
DH2020007402,KH00005,SP024,2,5490000,0,1043000,40000,11514000
DH2020001169,KH00123,SP014,4,1190000,0,419000,30000,4638000
DH2020004071,KH00004,SP001,3,4590000,0,1102000,40000,12158000
DH2020007025,KH00008,SP006,2,7990000,0,1278000,25000,14087000
DH2020007297,KH00425,SP008,2,13990000,0,2798000,30000,30808000
DH2020009884,KH00005,SP026,3,990000,0,297000,22000,3289000
DH2020000401,KH00002,SP006,1,7990000,0,639000,28000,7059000
DH2020001295,KH00001,SP005,2,4990000,0,948000,35000,10464000
DH2020002529,KH00318,SP022,1,190000,0,17000,22000,206000
DH2020008854,KH00002,SP019,3,690000,0,166000,45000,1867000
DH2020006779,KH00006,SP005,2,4990000,0,878000,45000,9705000
DH2020007474,KH00011,SP008,2,13990000,0,2714000,30000,29885000
DH2020007993,KH00026,SP018,1,390000,0,39000,45000,474000
DH2020000019,KH00003,SP016,2,11990000,0,2278000,18000,25077000
DH2020000449,KH01345,SP002,1,18990000,0,1899000,28000,20917000
DH2020000886,KH00001,SP019,1,690000,0,64000,22000,728000
DH2020005743,KH00001,SP010,2,12990000,0,2338000,18000,25738000
DH2020007685,KH00002,SP007,2,23990000,0,4222000,25000,46469000
DH2020007695,KH00002,SP019,3,690000,0,197000,28000,2191000
DH2020007722,KH00001,SP011,1,3990000,0,379000,28000,4197000
DH2020008883,KH00013,SP001,2,4590000,0,918000,25000,10123000
DH2020003658,KH00007,SP007,1,23990000,0,2327000,25000,25622000
DH2020003808,KH00001,SP002,2,18990000,0,3798000,30000,41808000
DH2020006238,KH00196,SP010,1,12990000,0,1299000,30000,14319000
DH2020001557,KH00001,SP010,1,12990000,0,1299000,40000,14329000
DH2020003171,KH00001,SP014,2,1190000,0,209000,28000,2331000
DH2020009451,KH00004,SP002,1,18990000,0,1899000,35000,20924000
DH2020004035,KH00035,SP004,1,16990000,0,1495000,30000,16476000
DH2020007187,KH00024,SP010,1,12990000,0,1299000,25000,14314000
DH2020007193,KH00004,SP021,1,350000,0,33000,30000,395000
DH2020008492,KH00004,SP005,3,4990000,0,1497000,40000,16507000
DH2020000270,KH00008,SP025,6,4290000,0,2445000,25000,26923000
DH2020008468,KH00032,SP023,2,5990000,0,1198000,25000,13203000
DH2020008966,KH00003,SP015,8,7990000,0,5753000,40000,63321000
DH2020000087,KH00001,SP004,2,16990000,0,3160000,40000,34801000
DH2020002764,KH00005,SP021,1,350000,0,35000,22000,407000
DH2020002989,KH00019,SP016,1,11990000,0,1199000,28000,13217000
DH2020003372,KH00072,SP006,3,7990000,0,2397000,30000,26397000
DH2020007837,KH00035,SP007,2,23990000,0,4078000,45000,44906000
DH2020009013,KH00220,SP011,1,3990000,0,359000,18000,3968000
DH2020004667,KH00001,SP008,4,13990000,0,5204000,40000,57287000
DH2020006208,KH01325,SP025,4,4290000,0,1373000,40000,15141000
DH2020007605,KH00002,SP001,1,4590000,0,367000,18000,4057000
DH2020009233,KH00007,SP003,1,19990000,0,1599000,22000,17613000
DH2020009502,KH00149,SP017,1,3290000,0,319000,35000,3545000
DH2020009632,KH00118,SP005,5,4990000,0,2495000,22000,27467000
DH2020007164,KH00002,SP017,4,3290000,0,1316000,40000,14516000
DH2020008769,KH00190,SP021,3,350000,0,98000,40000,1114000
DH2020009085,KH00001,SP010,1,12990000,0,1299000,18000,14307000
DH2020001680,KH00154,SP012,1,1590000,0,135000,35000,1522000
DH2020001719,KH00002,SP024,1,5490000,0,483000,25000,5339000
DH2020003169,KH00037,SP024,2,5490000,0,878000,18000,9680000
DH2020003415,KH01061,SP009,2,15990000,0,3038000,25000,33444000
DH2020004664,KH00005,SP014,4,1190000,0,428000,25000,4737000
DH2020004846,KH01904,SP025,1,4290000,0,408000,22000,4506000
DH2020004986,KH00090,SP004,2,16990000,0,2718000,30000,29932000
DH2020009028,KH00007,SP010,3,12990000,0,3780000,22000,41603000
DH2020000934,KH00001,SP016,2,11990000,0,1918000,35000,21137000
DH2020001830,KH00001,SP018,1,390000,0,37000,30000,437000
DH2020001976,KH00003,SP022,2,190000,0,38000,45000,463000
DH2020002898,KH00057,SP008,1,13990000,0,1231000,22000,13564000
DH2020004858,KH00011,SP001,1,4590000,0,459000,30000,5079000
DH2020005730,KH00003,SP004,1,16990000,0,1648000,35000,18163000
DH2020008638,KH00001,SP026,2,990000,0,198000,45000,2223000
DH2020001754,KH00026,SP008,2,13990000,0,2658000,28000,29267000
DH2020002111,KH00116,SP011,2,3990000,0,678000,25000,7486000
DH2020002990,KH00131,SP016,3,11990000,0,3165000,30000,34849000
DH2020002258,KH00023,SP003,1,19990000,0,1999000,18000,22007000
DH2020004716,KH00164,SP003,1,19990000,0,1999000,18000,22007000
DH2020006890,KH00033,SP022,1,190000,0,19000,25000,234000
DH2020001056,KH00004,SP012,3,1590000,0,453000,22000,5007000
DH2020003170,KH00001,SP023,3,5990000,0,1527000,30000,16831000
DH2020004051,KH00039,SP003,3,19990000,0,5397000,30000,59400000
DH2020007662,KH00065,SP001,6,4590000,0,2424000,22000,26681000
DH2020005582,KH00002,SP024,1,5490000,0,511000,30000,5647000
DH2020007427,KH00004,SP024,1,5490000,0,483000,22000,5336000
DH2020007778,KH00002,SP001,3,4590000,0,1377000,40000,15187000
DH2020008559,KH00094,SP025,1,4290000,0,429000,30000,4749000
DH2020000447,KH00001,SP003,6,19990000,0,11994000,18000,131952000
DH2020002968,KH00058,SP003,1,19990000,0,1939000,30000,21359000
DH2020006362,KH00010,SP014,4,1190000,0,443000,40000,4910000
DH2020000976,KH00002,SP022,1,190000,0,15000,18000,185000
DH2020001152,KH00013,SP026,1,990000,0,94000,40000,1074000
DH2020005649,KH00008,SP002,1,18990000,0,1671000,45000,18427000
DH2020007957,KH00002,SP004,1,16990000,0,1648000,25000,18153000
DH2020008324,KH00200,SP019,2,690000,0,131000,30000,1472000
DH2020009545,KH00008,SP025,1,4290000,0,386000,45000,4292000
DH2020004756,KH00222,SP003,1,19990000,0,1599000,35000,17626000
DH2020005687,KH00001,SP013,1,990000,0,89000,28000,1008000
DH2020009769,KH00004,SP018,3,390000,0,103000,28000,1161000
DH2020004436,KH00004,SP007,1,23990000,0,2279000,30000,25099000
DH2020005220,KH00002,SP011,10,3990000,0,3990000,35000,43925000
DH2020006318,KH00001,SP005,1,4990000,0,499000,25000,5514000
DH2020004076,KH00001,SP009,1,15990000,0,1487000,45000,16403000
DH2020004934,KH00002,SP005,1,4990000,0,399000,35000,4426000
DH2020007910,KH00007,SP002,1,18990000,0,1614000,35000,17791000
DH2020000683,KH00016,SP004,1,16990000,0,1648000,45000,18173000
DH2020001410,KH00019,SP025,4,4290000,0,1630000,35000,17967000
DH2020003063,KH00004,SP007,3,23990000,0,6837000,25000,75234000
DH2020006477,KH00002,SP024,1,5490000,0,467000,35000,5168000
DH2020009153,KH00001,SP016,1,11990000,0,1199000,25000,13214000
DH2020009508,KH00002,SP008,1,13990000,0,1399000,35000,15424000
DH2020000968,KH00382,SP012,1,1590000,0,151000,35000,1696000
DH2020001821,KH00320,SP006,6,7990000,0,4650000,22000,51174000
DH2020005031,KH00069,SP010,1,12990000,0,1299000,30000,14319000
DH2020005989,KH00002,SP002,1,18990000,0,1614000,40000,17796000
DH2020008192,KH00140,SP001,3,4590000,0,1170000,45000,12919000
DH2020000008,KH00015,SP006,3,7990000,0,2037000,30000,22441000
DH2020004818,KH00037,SP008,1,13990000,0,1119000,18000,12329000
DH2020006836,KH00104,SP013,1,990000,0,79000,40000,911000
DH2020006935,KH00022,SP009,2,15990000,0,3198000,28000,35206000
DH2020001507,KH00025,SP006,1,7990000,0,679000,22000,7493000
DH2020004097,KH00001,SP005,1,4990000,0,449000,22000,4962000
DH2020006157,KH00001,SP019,1,690000,0,66000,45000,767000
DH2020007098,KH00003,SP019,1,690000,0,69000,35000,794000
DH2020007915,KH00001,SP004,2,16990000,0,2990000,18000,32910000
DH2020009714,KH00002,SP024,4,5490000,0,2042000,35000,22500000
DH2020004571,KH00002,SP011,3,3990000,0,1161000,22000,12794000
DH2020006735,KH00003,SP010,1,12990000,0,1260000,25000,13885000
DH2020000063,KH00008,SP002,2,18990000,0,3798000,22000,41800000
DH2020001138,KH00141,SP003,3,19990000,0,4798000,30000,52804000
DH2020002548,KH00001,SP020,1,1190000,0,113000,35000,1278000
DH2020002634,KH00001,SP011,1,3990000,0,339000,35000,3766000
DH2020003354,KH00460,SP001,1,4590000,0,445000,25000,4922000
DH2020003491,KH00963,SP019,1,690000,0,55000,30000,637000
DH2020006060,KH00006,SP007,5,23990000,0,11155000,30000,122739000
DH2020008095,KH00029,SP005,8,4990000,0,3713000,40000,40879000
DH2020009422,KH00397,SP019,3,690000,0,176000,22000,1958000
DH2020000773,KH00038,SP011,1,3990000,0,351000,18000,3880000
DH2020001326,KH01068,SP003,2,19990000,0,3718000,45000,40944000
DH2020002744,KH00531,SP015,1,7990000,0,719000,22000,7932000
DH2020003865,KH00002,SP012,5,1590000,0,700000,25000,7721000
DH2020004454,KH00008,SP022,2,190000,0,38000,25000,443000
DH2020004939,KH00001,SP013,3,990000,0,297000,25000,3292000
DH2020005721,KH00002,SP013,10,990000,0,921000,40000,10168000
DH2020006083,KH00002,SP021,1,350000,0,28000,30000,338000
DH2020000755,KH00007,SP007,5,23990000,0,11995000,35000,131980000
DH2020006888,KH00276,SP003,4,19990000,0,7036000,30000,77431000
DH2020008049,KH00005,SP014,3,1190000,0,357000,25000,3952000
DH2020009935,KH00948,SP013,1,990000,0,79000,40000,911000
DH2020003065,KH00005,SP020,1,1190000,0,107000,45000,1223000
DH2020005184,KH00006,SP010,2,12990000,0,2520000,35000,27756000
DH2020008602,KH00002,SP016,5,11990000,0,5695000,25000,62672000
DH2020009590,KH02092,SP001,1,4590000,0,459000,25000,5074000
DH2020002167,KH00001,SP023,2,5990000,0,958000,25000,10567000
DH2020004616,KH00004,SP004,1,16990000,0,1444000,30000,15916000
DH2020005913,KH00001,SP026,2,990000,0,198000,25000,2203000
DH2020007739,KH00002,SP022,3,190000,0,50000,18000,570000
DH2020008353,KH00032,SP004,1,16990000,0,1699000,45000,18734000
DH2020008894,KH00008,SP005,4,4990000,0,1936000,25000,21322000
DH2020001119,KH00013,SP013,1,990000,0,87000,18000,976000
DH2020004099,KH00014,SP006,1,7990000,0,775000,22000,8547000
DH2020009408,KH00010,SP009,1,15990000,0,1279000,35000,14106000
DH2020003720,KH00001,SP026,1,990000,0,92000,18000,1031000
DH2020006678,KH00001,SP011,2,3990000,0,742000,30000,8193000
DH2020007072,KH00001,SP020,2,1190000,0,209000,45000,2348000
DH2020008814,KH00002,SP017,5,3290000,0,1563000,28000,17219000
DH2020009006,KH00001,SP011,2,3990000,0,742000,40000,8203000
DH2020009827,KH00054,SP021,2,350000,0,70000,28000,798000
DH2020005488,KH00009,SP005,3,4990000,0,1452000,35000,16008000
DH2020006243,KH00001,SP021,2,350000,0,60000,45000,700000
DH2020001674,KH00008,SP012,1,1590000,0,143000,25000,1599000
DH2020008173,KH00016,SP023,1,5990000,0,599000,35000,6624000
DH2020008285,KH00001,SP001,3,4590000,0,1281000,28000,14115000
DH2020001641,KH00109,SP024,2,5490000,0,1098000,30000,12108000
DH2020003985,KH00048,SP004,1,16990000,0,1699000,35000,18724000
DH2020008610,KH00148,SP004,6,16990000,0,9888000,28000,108798000
DH2020009088,KH00009,SP019,3,690000,0,192000,18000,2135000
DH2020000548,KH00022,SP004,8,16990000,0,12912000,30000,142066000
DH2020000565,KH00002,SP006,1,7990000,0,799000,30000,8819000
DH2020000898,KH00947,SP007,1,23990000,0,2111000,18000,23240000
DH2020002337,KH00022,SP018,2,390000,0,72000,30000,827000
DH2020003922,KH00118,SP026,1,990000,0,99000,25000,1114000
DH2020004506,KH00030,SP015,1,7990000,0,799000,28000,8817000
DH2020005455,KH00013,SP006,1,7990000,0,719000,45000,7955000
DH2020007345,KH00185,SP021,4,350000,0,130000,30000,1462000
DH2020007503,KH00001,SP026,3,990000,0,297000,45000,3312000
DH2020008627,KH00005,SP004,3,16990000,0,4078000,45000,44899000
DH2020007405,KH00003,SP009,1,15990000,0,1599000,25000,17614000
DH2020009022,KH00071,SP001,1,4590000,0,459000,28000,5077000
DH2020009606,KH00056,SP012,1,1590000,0,159000,18000,1767000
DH2020001198,KH00001,SP015,4,7990000,0,3196000,45000,35201000
DH2020001426,KH00001,SP021,1,350000,0,28000,45000,353000
