Date;Apple;Samsung;Oppo;Xiaomi;Vivo;Nokia;Realme;Unknown;Huawei;Sony;Vsmart;LG;Asus;HTC;Lenovo;Google;Tecno;RIM;Motorola;BBK;Itel;Mobicel;Pantech;Honor;OnePlus;ZTE;Wiko;Infinix;Alcatel;Sharp;Acer;Meizu;Coolpad;Other
2011-04;22.5;4.52;0;0;0;67.38;0;0;0;3.13;0;0.2;0;0.14;0;0.1;0;1.8;0.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.12
2011-05;24.01;5.3;0;0;0;65.12;0;0;0;3.19;0;0.22;0;0.18;0;0.11;0;1.64;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.11
2011-06;22.55;5.08;0;0;0;67.29;0;0;0;2.83;0;0.19;0;0.17;0;0.1;0;1.58;0.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.09
2011-07;24.78;5.88;0;0;0;64.45;0;0;0;2.67;0;0.17;0;0.27;0;0.11;0;1.47;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07
2011-08;23.08;6.33;0;0;0;65.71;0;0;0;2.67;0;0.18;0;0.28;0;0.1;0;1.49;0.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07
2011-09;23.6;6.79;0;0;0;64.85;0;0;0;2.57;0;0.15;0;0.39;0;0.11;0;1.43;0.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06
2011-10;22.57;7.31;0;0;0;62.71;0;0;0;2.79;0;0.67;0;2.06;0;0.07;0;1.59;0.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07
2011-11;18.69;6.62;0;0;0;68.14;0;0;0;2.34;0;0.76;0;1.82;0;0.08;0;1.39;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04
2011-12;13.26;5.73;0;0;0;76.39;0;0;0;2.02;0;0.51;0;1.18;0;0.06;0;0.73;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03
2012-01;12.38;5.73;0;0;0;77.44;0;0;0;1.99;0;0.51;0;1.11;0;0.07;0;0.65;0.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03
2012-02;29.68;4.97;0;0;0;61.61;0;0;0;1.56;0;0.43;0;1.06;0;0.07;0;0.53;0.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03
2012-03;31.48;4.78;0;0;0;53.96;0;6.21;0;1.45;0;0.42;0;0.96;0;0.05;0;0.58;0.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03
2012-04;29.95;5.39;0;0;0;49.34;0;11.27;0;1.51;0;0.47;0;1.26;0;0.09;0;0.61;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03
2012-05;34.27;5.26;0;0;0;47.26;0;9.11;0.04;1.35;0;0.73;0;1.21;0;0.07;0;0.49;0.09;0;0;0;0;0;0;0.02;0;0;0.01;0;0;0;0;0.09
2012-06;73.13;2.53;0;0;0;19.79;0;2.64;0.02;0.64;0;0.34;0;0.55;0;0.03;0;0.22;0.04;0;0;0;0;0;0;0.01;0;0;0.01;0;0;0;0;0.04
2012-07;73.69;2.74;0;0;0;18.96;0;2.54;0.02;0.68;0;0.43;0;0.59;0.01;0.04;0;0.22;0.03;0;0;0;0;0;0;0.02;0;0;0;0;0;0;0;0.03
2012-08;47.31;5.24;0;0;0;38.86;0;4.94;0.05;1.21;0;0.87;0;0.97;0.01;0.06;0;0.32;0.05;0;0;0;0.01;0;0;0.03;0;0;0.01;0;0.02;0;0;0.03
2012-09;39.64;6.5;0;0;0;43.17;0;6.14;0.05;1.5;0;1.04;0;1.21;0.03;0.08;0;0.42;0.07;0;0;0;0.01;0;0;0.04;0;0;0.01;0;0.02;0;0;0.06
2012-10;38.59;7.39;0;0;0;42.28;0;6.66;0.05;1.64;0;1.22;0;1.4;0.07;0.09;0;0.39;0.09;0;0;0;0.01;0;0;0.04;0;0;0.01;0;0.03;0;0;0.05
2012-11;36.07;7.65;0;0;0;43.35;0;7.62;0.07;1.65;0;1.42;0;1.34;0.08;0.08;0;0.32;0.08;0;0;0;0.02;0;0;0.14;0;0;0.01;0;0.04;0;0;0.05
2012-12;35.43;9.72;0;0;0;40.34;0;8.32;0.08;1.8;0;1.6;0;1.58;0.15;0.09;0;0.38;0.08;0;0;0;0.13;0;0;0.18;0;0;0.02;0;0.03;0;0;0.05
2013-01;37.6;11.06;0;0;0;35.75;0;8.58;0.08;1.99;0;1.65;0;1.85;0.22;0.12;0;0.44;0.08;0;0;0;0.22;0;0;0.26;0;0;0.03;0;0.03;0;0;0.06
2013-02;49.43;9.32;0;0;0;27.99;0;7.35;0.13;1.55;0;1.43;0;1.45;0.26;0.1;0;0.4;0.07;0;0;0;0.19;0;0;0.22;0;0;0.02;0;0.03;0;0;0.04
2013-03;50.52;9.48;0;0;0;26.7;0;7.13;0.15;1.67;0;1.41;0;1.48;0.33;0.13;0;0.32;0.07;0;0;0;0.29;0;0;0.23;0;0;0.02;0;0.02;0;0;0.04
2013-04;46.27;9.49;0;0;0;29.26;0;8.05;0.15;1.84;0;1.53;0;1.6;0.37;0.17;0;0.4;0.13;0;0;0;0.35;0;0;0.27;0;0;0.03;0;0.02;0;0;0.07
2013-05;45.17;9.14;0;0;0;30.81;0;8.29;0.19;1.56;0;1.57;0;1.39;0.42;0.17;0;0.38;0.1;0;0;0;0.36;0;0;0.33;0;0;0.03;0;0.02;0;0;0.06
2013-06;41.51;9.6;0;0;0;33.2;0;8.76;0.2;1.6;0;1.63;0;1.53;0.47;0.18;0;0.42;0.12;0;0;0;0.35;0;0;0.3;0;0;0.04;0;0.01;0;0;0.07
2013-07;40.61;9.3;0;0.02;0;34.9;0;8.73;0.25;1.26;0;1.7;0;1.35;0.51;0.2;0;0.32;0.07;0;0;0;0.37;0;0;0.29;0;0;0.04;0.01;0.02;0;0;0.06
2013-08;39.99;9.91;0;0.01;0;34.07;0;9.05;0.3;1.3;0;1.88;0;1.5;0.62;0.17;0;0.33;0.06;0;0;0;0.4;0;0;0.28;0;0;0.04;0;0.02;0;0;0.06
2013-09;37.06;9.88;0;0.01;0;35.83;0;10.11;0.3;1.28;0;1.91;0;1.46;0.75;0.18;0;0.4;0.07;0;0;0;0.41;0;0;0.23;0;0;0.04;0;0.01;0;0;0.06
2013-10;28.01;10.53;0;0.02;0;37.19;0;16.75;0.39;1.22;0;2.02;0;1.33;0.75;0.17;0;0.77;0.07;0;0;0;0.39;0;0;0.23;0;0;0.06;0;0.02;0;0;0.08
2013-11;37.97;11.85;0;0.02;0;31.45;0;10.27;0.41;1.22;0;2.21;0;1.79;0.98;0.26;0;0.44;0.08;0;0;0;0.5;0;0;0.28;0;0;0.1;0;0.03;0.01;0;0.13
2013-12;44.32;12.01;0;0.02;0;24.92;0;10.35;0.49;1.07;0;2.29;0;1.66;1.07;0.21;0;0.36;0.09;0;0;0;0.52;0;0;0.31;0;0;0.12;0;0.04;0;0.01;0.12
2014-01;58.58;9.16;0;0.01;0;18.08;0;7.49;0.4;0.83;0;1.8;0;1.35;0.92;0.15;0;0.29;0.06;0;0;0;0.41;0;0;0.23;0;0;0.09;0;0.05;0;0;0.08
2014-02;52.9;12.03;0.08;0.01;0;18.73;0;7.95;0.43;1.61;0;2.06;0;1.54;1.08;0.2;0;0.26;0.07;0;0;0;0.51;0;0;0.26;0;0;0.13;0;0.06;0.01;0;0.1
2014-03;51.81;11.67;0.22;0.02;0;19.93;0;7.73;0.42;1.82;0;2.03;0;1.58;1.12;0.21;0;0.39;0.06;0;0;0;0.49;0;0;0.21;0;0;0.13;0;0.06;0.01;0.01;0.08
2014-04;45.25;13.66;0.28;0.02;0;21.36;0;8.95;0.43;2.18;0;2.45;0;1.94;1.41;0.26;0;0.56;0.09;0;0;0;0.53;0;0;0.24;0;0;0.16;0;0.09;0.01;0.01;0.12
2014-05;41.79;15.75;0.39;0.02;0;20.42;0;9.92;0.52;2.41;0;2.75;0;2.15;1.51;0.26;0;0.62;0.13;0;0;0;0.64;0;0;0.25;0;0;0.21;0;0.09;0.01;0.01;0.15
2014-06;42.78;15.71;0.78;0.01;0;18.82;0;10.02;0.57;2.39;0;2.85;0;2.09;1.62;0.24;0;0.64;0.1;0;0;0;0.61;0;0;0.25;0;0;0.21;0;0.12;0;0.01;0.14
2014-07;49.55;13.33;0.71;0.03;0;17.61;0;8.13;0.46;2.06;0;2.44;0.31;2.02;1.31;0.25;0;0.64;0.09;0;0;0;0.49;0;0;0.17;0;0;0.17;0;0.09;0;0.01;0.12
2014-08;38.94;15.26;1.31;0.04;0;22.29;0;10.27;0.59;2;0;2.79;1.02;1.95;1.35;0.21;0;0.66;0.09;0;0;0;0.51;0;0;0.23;0;0;0.23;0;0.07;0;0.01;0.17
2014-09;38.22;15.24;1.44;0.06;0;23.21;0;9.5;0.58;2;0;2.75;1.29;2.04;1.43;0.2;0;0.63;0.11;0;0;0;0.46;0;0;0.25;0;0;0.31;0;0.07;0.01;0.01;0.17
2014-10;39.91;14.15;1.27;0.09;0;20.95;0;10.91;0.64;2.16;0;2.67;1.52;2.14;1.41;0.3;0;0.59;0.13;0.01;0;0;0.46;0;0;0.17;0;0;0.24;0;0.08;0.02;0.01;0.15
2014-11;23.11;15.43;1.67;0.1;0;24.76;0;19.8;0.58;2.36;0;3.07;2.05;2.49;1.87;0.56;0;0.71;0.16;0.01;0;0;0.55;0;0.01;0.16;0.03;0;0.24;0;0.11;0.02;0.01;0.16
2014-12;21.33;16.43;1.85;0.11;0;25.14;0;18.98;0.6;2.7;0;2.93;2.6;2.55;1.95;0.65;0;0.74;0.15;0.01;0;0;0.52;0;0.01;0.16;0.05;0;0.23;0;0.11;0.01;0.01;0.19
2015-01;28.22;14.6;2.34;0.08;0;25.75;0;14.32;0.54;2.36;0;2.52;2.58;2.32;1.79;0.46;0;0.67;0.08;0.01;0;0;0.52;0;0.01;0.19;0.07;0;0.21;0;0.17;0.04;0.01;0.13
2015-02;26.87;14.53;3.08;0.06;0;26.5;0;14.37;0.52;2.65;0;2.46;2.76;2.26;1.63;0.34;0;0.61;0.07;0.02;0;0;0.55;0;0.01;0.16;0.1;0;0.2;0;0.07;0.05;0.01;0.12
2015-03;29.4;13.79;2.59;0.09;0;23.31;0;15.99;0.48;2.83;0;2.42;2.74;2.27;1.57;0.54;0;0.68;0.07;0.02;0;0;0.51;0;0.01;0.14;0.11;0;0.21;0;0.08;0.02;0.01;0.13
2015-04;30.74;13.44;2.95;0.11;0;21.97;0;15.9;0.48;2.89;0;2.23;2.59;2.28;1.61;0.88;0;0.67;0.07;0.01;0;0;0.43;0;0.01;0.15;0.11;0;0.23;0;0.09;0.03;0.01;0.12
2015-05;31.8;13.02;2.68;0.11;0;23.76;0;14.45;0.45;2.78;0;2.13;2.52;2.33;1.49;0.64;0;0.66;0.06;0.01;0;0;0.43;0;0.02;0.12;0.11;0;0.2;0;0.06;0.02;0.01;0.13
2015-06;35.79;14.03;3.06;0.1;0;21.85;0;12.06;0.51;2.58;0;2.02;2.23;2.02;1.57;0.21;0;0.72;0.07;0.01;0;0;0.41;0;0.01;0.13;0.13;0;0.21;0;0.07;0.07;0.01;0.13
2015-07;37.33;13.41;2.81;0.08;0;21.85;0;12.57;0.51;2.27;0;1.8;1.91;1.96;1.46;0.34;0;0.55;0.06;0.01;0;0;0.34;0;0.01;0.14;0.14;0;0.2;0;0.06;0.05;0.01;0.11
2015-08;27.8;18.5;4.42;0.1;0;19.97;0;14.09;0.73;2.94;0;2.26;2.62;2.28;2.1;0.18;0;0.55;0.07;0.02;0;0;0.44;0;0.01;0.19;0.22;0;0.23;0;0.08;0.05;0.02;0.14
2015-09;31.19;17.51;4.05;0.15;0;19.04;0;12.73;0.72;2.91;0;2.11;2.82;2.46;2.13;0.21;0;0.6;0.08;0.02;0;0;0.4;0;0.01;0.14;0.25;0;0.19;0;0.09;0.04;0.03;0.13
2015-10;32.32;15.24;3.4;0.21;0;21.3;0;13.32;0.63;2.75;0;1.94;2.57;2.39;1.97;0.16;0;0.58;0.07;0.02;0;0;0.37;0;0.01;0.1;0.25;0;0.15;0;0.1;0.03;0.02;0.12
2015-11;34.43;14.09;2.75;0.28;0;20.38;0;13.55;0.61;2.78;0;1.98;2.77;2.2;2.06;0.21;0;0.63;0.08;0.02;0;0;0.37;0;0.02;0.08;0.26;0;0.13;0;0.1;0.05;0.02;0.14
2015-12;30.99;15.75;2.96;0.26;0;18.49;0;15.21;0.71;3.05;0;2.13;2.97;2.52;2.17;0.44;0;0.93;0.13;0.02;0;0;0.37;0;0.03;0.1;0.28;0;0.14;0;0.1;0.03;0.03;0.18
2016-01;32.21;16.31;2.87;0.41;0;16.29;0;15.03;0.83;3.16;0;2.22;3.15;2.6;2.35;0.26;0;0.8;0.14;0.03;0;0;0.43;0;0.02;0.08;0.3;0;0.13;0;0.1;0.03;0.03;0.2
2016-02;30.34;17.38;3.11;0.48;0;15.68;0;16.09;1.1;2.99;0;2.22;3.07;2.49;2.6;0.26;0;0.68;0.13;0.03;0;0;0.41;0;0.02;0.09;0.34;0;0.14;0;0.08;0.04;0.04;0.19
2016-03;37.56;19.85;2.77;0.53;0;9.39;0;10.62;1.06;4.34;0;2.47;3.14;2.79;2.85;0.19;0;1.19;0.16;0.02;0;0;0.39;0;0.01;0.06;0.26;0;0.1;0;0.07;0.03;0.03;0.12
2016-04;36.81;20.09;2.74;0.4;0;9.79;0;11.06;0.95;4.25;0;2.39;3.07;2.89;2.88;0.19;0;1.16;0.16;0.02;0;0;0.41;0;0.01;0.07;0.29;0;0.11;0;0.05;0.03;0.03;0.13
2016-05;38.71;20.28;2.4;0.39;0;8.32;0;10.79;0.96;4.32;0;2.48;2.95;2.91;2.88;0.23;0;1.18;0.17;0.02;0;0;0.34;0;0.01;0.07;0.27;0;0.11;0;0.05;0.02;0.03;0.12
2016-06;38.6;20.63;2.31;0.36;0;8.39;0;11.5;0.96;3.99;0;2.31;2.78;2.78;2.8;0.37;0;1.05;0.16;0.02;0;0;0.29;0;0.01;0.06;0.28;0;0.11;0;0.05;0.02;0.04;0.12
2016-07;40.81;19.54;2.39;0.39;0;8.18;0;11.88;1.03;3.57;0;2.06;2.72;2.58;2.6;0.21;0;0.81;0.19;0.02;0;0;0.27;0;0.02;0.08;0.26;0;0.09;0.01;0.08;0.02;0.05;0.13
2016-08;42.12;17.82;2.31;0.48;0;6.53;0;14.9;1.2;2.94;0;1.91;2.69;2.25;2.36;0.32;0;0.36;0.49;0.02;0;0;0.24;0;0.02;0.16;0.29;0;0.09;0.1;0.07;0.03;0.09;0.21
2016-09;41.42;18.34;2.23;0.5;0;5.54;0;16.47;1.33;2.95;0;1.9;2.68;2.43;2.3;0.3;0;0.45;0.13;0.02;0;0;0.26;0;0.02;0.08;0.27;0;0.08;0;0.06;0.03;0.1;0.12
2016-10;32.46;18.05;2.67;0.66;0;6.53;0;15.46;1.5;3.83;0;2.24;3.35;2.9;2.16;1.18;0;0.47;3.34;0.05;0;0;0.23;0;0.02;0.68;0.26;0;0.09;0.83;0.09;0.03;0.09;0.84
2016-11;32.16;21.47;5.38;1.05;0;6.02;0;11.05;1.55;4;0;2.03;3.21;2.57;2.17;1.07;0;0.51;2.55;0.23;0;0;0.21;0;0.03;0.54;0.31;0;0.09;0.61;0.08;0.05;0.12;0.94
2016-12;39.11;24.81;7.36;1.07;0;3.16;0;7.54;1.41;4.29;0;1.64;2.46;2.08;2.01;0.29;0;0.74;0.2;0.31;0;0;0.24;0;0.03;0.07;0.35;0.01;0.09;0.01;0.17;0.04;0.17;0.36
2017-01;42.05;23.73;7.6;1.19;0;3.01;0;6.42;1.4;4;0;1.48;2.27;1.89;1.87;0.21;0;0.63;0.21;0.35;0;0;0.29;0;0.04;0.06;0.32;0.02;0.08;0.02;0.16;0.05;0.18;0.47
2017-02;44.78;23.91;9.07;1.15;0;2.06;0;5.2;1.49;3.55;0;1.09;2.01;1.59;1.49;0.13;0;0.35;0.13;0.47;0;0.07;0.22;0;0.04;0.06;0.29;0.02;0.06;0.01;0.12;0.06;0.21;0.4
2017-03;44.28;22.6;8.04;1.11;0;3.04;0;5.86;1.71;3.52;0;1.12;2.17;1.62;1.57;0.19;0;0.52;0.27;0.42;0.01;0.07;0.23;0;0.05;0.08;0.33;0.02;0.09;0.04;0.15;0.07;0.18;0.64
2017-04;34.98;24.72;8;1.37;0;4.57;0;7.29;2.01;3.93;0;1.39;2.73;1.94;1.98;0.42;0.01;0.53;0.89;0.47;0.02;0.07;0.26;0;0.06;0.21;0.4;0.03;0.1;0.19;0.2;0.09;0.19;0.97
2017-05;35.25;25.18;7.99;1.43;0;4.16;0;6.89;1.96;3.99;0;1.4;2.72;1.99;1.85;0.44;0.01;0.51;1.02;0.46;0.03;0.08;0.26;0;0.06;0.25;0.39;0.03;0.09;0.23;0.17;0.08;0.15;0.97
2017-06;31.69;24.72;7.8;1.44;0;5;0;7.46;2.24;3.92;0;1.5;2.85;2.13;2.02;0.9;0.01;0.41;1.82;0.48;0.05;0.14;0.24;0;0.06;0.4;0.4;0.03;0.12;0.43;0.21;0.08;0.17;1.27
2017-07;31.45;25.88;8.43;1.58;0;5.15;0;7.66;2.37;3.74;0;1.37;2.56;1.92;2.01;0.72;0.01;0.48;1.1;0.5;0.07;0.19;0.24;0;0.07;0.27;0.38;0.03;0.1;0.24;0.23;0.08;0.18;1
2017-08;34.39;25.55;8.53;1.75;0;4.18;0;6.87;2.4;3.56;0;1.28;2.44;1.72;1.93;0.53;0.01;0.56;0.9;0.46;0.1;0.25;0.23;0;0.07;0.23;0.34;0.03;0.13;0.19;0.17;0.1;0.17;0.94
2017-09;30.5;30.72;8.07;1.91;0;4.02;0;7.17;2.24;3.51;0;1.16;2.28;1.62;1.89;0.43;0.01;0.5;0.66;0.47;0.14;0.27;0.21;0;0.07;0.17;0.37;0.02;0.1;0.13;0.14;0.11;0.18;0.94
2017-10;31.76;27.98;8.7;2.29;0;3.75;0;7.1;2.36;3.69;0;1.19;2.38;1.58;1.75;0.51;0.02;0.41;0.79;0.48;0.14;0.37;0.24;0;0.08;0.2;0.43;0.04;0.09;0.15;0.12;0.1;0.2;1.06
2017-11;30.29;27.09;9.3;2.3;0;6.28;0;7.37;2.34;3.54;0;1.08;2.27;1.62;1.69;0.4;0.02;0.48;0.52;0.49;0.18;0.47;0.21;0;0.08;0.13;0.38;0.04;0.09;0.07;0.14;0.09;0.15;0.88
2017-12;27.48;26.3;8.73;2.08;0;6.8;0;8.62;2.36;3.74;0;1.15;2.38;1.79;1.61;0.68;0.01;0.44;1.63;0.44;0.18;0.51;0.19;0;0.06;0.37;0.37;0.05;0.08;0.4;0.12;0.07;0.16;1.22
2018-01;25.22;24.3;7.99;2.04;0;6.95;0;9.92;2.28;4.06;0;1.38;2.62;2.05;1.4;1.03;0.03;0.37;3.09;0.41;0.35;0.49;0.18;0;0.04;0.63;0.34;0.07;0.1;0.77;0.1;0.06;0.16;1.57
2018-02;30.09;28.49;9.63;2.56;0;5.28;0;7.47;2.53;3.2;0;1;2;1.43;1.49;0.34;0.04;0.41;0.44;0.49;0.24;0.69;0.19;0;0.04;0.14;0.36;0.05;0.05;0.07;0.11;0.07;0.27;0.81
2018-03;36.23;26.32;7.39;2.54;0;3.14;0;8.09;2.44;3.15;0;1.1;1.92;1.33;1.39;0.34;0.01;0.51;0.5;0.35;0.38;0.55;0.27;0;0.03;0.13;0.29;0.07;0.05;0.1;0.13;0.06;0.14;1.04
2018-04;39.76;26.92;6.34;2.49;0;2.67;0;4.65;1.95;3.67;0;1.23;1.92;1.43;1.34;0.41;0.01;0.76;1;0.27;0.16;0.48;0.35;0;0.03;0.19;0.25;0.08;0.06;0.26;0.09;0.04;0.08;1.11
2018-05;40.11;26.51;6.8;2.66;0;2.81;0;4.21;2.04;3.59;0;1.18;1.85;1.44;1.25;0.42;0.01;0.75;0.98;0.27;0.19;0.54;0.35;0;0.02;0.18;0.29;0.04;0.06;0.29;0.1;0.04;0.07;0.95
2018-06;39.62;26.58;7.08;2.72;0;2.74;0;4.1;2.2;3.35;0;1.12;1.81;1.4;1.23;0.45;0.01;0.73;1.15;0.27;0.22;0.58;0.28;0;0.04;0.25;0.38;0.06;0.06;0.36;0.1;0.04;0.09;0.99
2018-07;34.83;28.22;10.93;3;0;2.31;0;4.43;3.13;2.67;0;1.01;1.55;1.22;1.19;0.38;0.01;0.43;0.61;0.43;0.38;1.1;0.15;0;0.03;0.18;0.36;0.04;0.1;0.13;0.13;0.06;0.13;0.85
2018-08;37;27.49;9.44;3.5;0;2.64;0;3.56;3.39;2.63;0;1.15;1.63;1.26;1.07;0.51;0.02;0.46;0.69;0.36;0.31;0.93;0.12;0;0.06;0.24;0.25;0.03;0.16;0.1;0.12;0.07;0.1;0.7
2018-09;37.31;28.42;9.63;4.15;0;2.46;0;3.36;3.06;2.51;0;0.92;1.68;0.99;0.93;0.46;0.03;0.22;0.51;0.37;0.33;0.93;0.11;0;0.09;0.1;0.25;0.07;0.06;0.1;0.11;0.08;0.09;0.71
2018-10;38.27;28.87;8.93;4.53;0;2.39;0;3.26;2.95;2.21;0;0.91;1.49;0.86;0.88;0.76;0.02;0.16;0.42;0.32;0.28;0.97;0.11;0;0.17;0.06;0.25;0.06;0.03;0.03;0.09;0.08;0.09;0.57
2018-11;41.39;27.16;8.05;4.88;0;2.51;0;4.07;2.54;1.48;0;0.84;0.93;1.03;0.94;0.51;0.02;0.18;0.55;0.24;0.27;1.24;0.07;0;0.11;0.05;0.21;0.03;0.06;0.02;0.05;0.05;0.09;0.44
2018-12;38.53;29.53;8.81;5.27;0;2.43;0;3.88;3.07;1.13;0;0.86;0.95;0.85;0.82;0.47;0.02;0.25;0.46;0.19;0.21;1.17;0.05;0;0.15;0.04;0.18;0.09;0.05;0.01;0.04;0.04;0.08;0.37
2019-01;37.45;29.24;8.45;5.19;0;2.47;0;5.31;2.85;0.99;0;0.83;0.79;0.77;0.73;0.48;0.02;0.36;0.59;0.17;0.55;1.14;0.06;0;0.11;0.06;0.18;0.16;0.05;0.01;0.05;0.06;0.07;0.83
2019-02;39.19;29.55;8.85;4.96;0;2.39;0;4.8;2.84;0.83;0;0.71;0.76;0.78;0.79;0.41;0.01;0.16;0.35;0.17;0.27;1.2;0.04;0;0.13;0.05;0.2;0.02;0.02;0.01;0.03;0.04;0.07;0.38
2019-03;38.94;28.99;8.81;5.19;0;2.33;0;3.12;3.2;2.04;0;0.71;1.29;0.69;0.78;0.4;0.02;0.13;0.47;0.28;0.24;1.02;0.06;0;0.16;0.05;0.28;0.03;0.02;0.03;0.06;0.11;0.06;0.49
2019-04;38.6;29.67;8.84;5.15;0;2.51;0;2.68;3.28;1.94;0;0.7;1.26;0.64;0.71;0.51;0.03;0.11;0.38;0.28;0.21;1.15;0.06;0;0.14;0.07;0.25;0.04;0.02;0.04;0.06;0.12;0.05;0.49
2019-05;38.06;29.55;8.8;5.15;0;2.81;0;3.3;3.15;1.72;0;0.78;1.16;0.72;0.59;0.73;0.04;0.1;0.34;0.27;0.22;1.17;0.07;0;0.15;0.04;0.25;0.05;0.02;0.04;0.07;0.11;0.05;0.5
2019-06;37.19;30.02;9.83;5.38;0;2.47;0;3.25;3.07;1.73;0;0.73;1.17;0.6;0.6;0.42;0.02;0.16;0.26;0.32;0.28;1.27;0.07;0.01;0.14;0.04;0.26;0.02;0.02;0.04;0.08;0.09;0.05;0.41
2019-07;39.61;28.93;8.9;5.16;0;2.43;0;3.49;3.13;1.63;0;0.64;1.11;0.57;0.69;0.38;0.01;0.11;0.29;0.31;0.24;1.24;0.06;0;0.15;0.03;0.18;0.01;0.02;0.04;0.06;0.09;0.06;0.4
2019-08;41.48;28.01;8.55;6.13;0.02;2.29;0.17;2.73;2.95;1.51;0;0.59;1.03;0.55;0.47;0.37;0.02;0.1;0.29;0.25;0.24;1.19;0.05;0;0.18;0.02;0.22;0.02;0.04;0.03;0.03;0.1;0.04;0.36
2019-09;40.04;29.08;8.42;6.24;0.02;2.23;0.21;2.48;3.42;1.43;0;0.69;0.93;0.71;0.5;0.58;0.02;0.09;0.26;0.25;0.2;1.18;0.05;0;0.17;0.03;0.16;0.02;0.05;0.04;0.03;0.11;0.04;0.32
2019-10;38.1;29.8;9.22;6.71;0.02;2.17;0.29;2.11;3.91;1.47;0;0.64;0.96;0.52;0.47;0.49;0.02;0.09;0.17;0.24;0.2;1.29;0.06;0;0.2;0.02;0.16;0.02;0.03;0.07;0.02;0.13;0.03;0.36
2019-11;38.43;29.49;9.49;6.66;0.04;1.97;0.42;2.14;4;1.38;0;0.64;0.92;0.45;0.39;0.38;0.02;0.1;0.15;0.21;0.21;1.45;0.03;0.01;0.15;0.03;0.17;0.02;0.03;0.08;0.02;0.12;0.03;0.37
2019-12;37.05;30.25;10.27;6;0.02;2.27;0.45;2.21;3.81;1.28;0;0.69;0.91;0.53;0.38;0.33;0.02;0.11;0.15;0.23;0.26;1.7;0.04;0.01;0.17;0.02;0.18;0.02;0.03;0.06;0.03;0.1;0.05;0.38
